# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0 0 0 0
39 1.54 0 0 0 0 0 0
40 1.58 0 0 0 0 0 0
41 1.62 0 0 0 0 0.0233815 9.6494e-05
42 1.66 0 0 0 0 0.690268 0.00308781
43 1.7 0 0 0 0 12.2009 0.0585397
44 1.74 0 0 0 0 58.7116 0.338083
45 1.78 0 0 0 0 119.945 0.935735
46 1.82 0 0 0 0 132.872 1.62789
47 1.86 0 0 0 0 100.621 2.17533
48 1.9 0 0 0 0 61.8687 2.52657
49 1.94 0 0 0 0 32.2805 2.71763
50 1.98 0 0 0 0 17.1902 2.82361
51 2.02 0 0 0 0 8.24561 2.87652
52 2.06 0 0 0 0 4.52089 2.90669
53 2.1 0 0 0 0 2.49056 2.92396
54 2.14 0 0 0.00105199 7.57576e-06 1.54528 2.93509
55 2.18 0 0 0.00481478 4.35606e-05 1.03291 2.94281
56 2.22 0 0 0.0183275 0.000185606 0.701357 2.94825
57 2.26 0 0 0.0624857 0.0006875 0.628703 2.9533
58 2.3 0 0 0.184864 0.00222538 0.506503 2.95751
59 2.34 0.000222507 1.89394e-06 0.434174 0.00596402 0.478114 2.96163
60 2.38 0.00215091 2.08333e-05 0.796669 0.0130606 0.411628 2.96529
61 2.42 0.0114416 0.000125 1.26451 0.0247064 0.35274 2.96854
62 2.46 0.0418738 0.000518939 1.75329 0.041392 0.452895 2.97285
63 2.5 0.120659 0.00169129 2.21021 0.0631155 0.497426 2.97774
64 2.54 0.301002 0.00471023 2.49134 0.088392 0.557977 2.9834
65 2.58 0.57122 0.0106212 2.62059 0.115824 0.715942 2.9909
66 2.62 0.960696 0.0208731 2.59399 0.143826 0.855146 3.00013
67 2.66 1.35662 0.0357955 2.45171 0.171106 0.939475 3.01058
68 2.7 1.85585 0.0568277 2.26925 0.197121 1.00163 3.02206
69 2.74 2.23305 0.0828902 2.07836 0.221659 1.01618 3.03406
70 2.78 2.50471 0.112983 1.8083 0.243636 1.0401 3.0467
71 2.82 2.59854 0.145108 1.61773 0.263867 0.913052 3.05812
72 2.86 2.59875 0.178153 1.41113 0.282019 0.892689 3.0696
73 2.9 2.51134 0.210987 1.23299 0.298326 0.909581 3.08163
74 2.94 2.28772 0.241727 1.06674 0.312826 0.787961 3.09234
75 2.98 2.08638 0.27053 0.994356 0.326712 0.861401 3.10437
76 3.02 1.85461 0.296826 0.867172 0.33915 0.932917 3.11775
77 3.06 1.62832 0.320528 0.792433 0.350818 0.867198 3.13052
78 3.1 1.41885 0.341725 0.745166 0.36208 1.08334 3.1469
79 3.14 1.25022 0.360888 0.678543 0.3726 1.12022 3.16427
80 3.18 1.10572 0.378271 0.659081 0.383081 1.26211 3.18434
81 3.22 0.959982 0.393744 0.618183 0.393161 1.41044 3.20733
82 3.26 0.892092 0.408483 0.608656 0.403333 1.55697 3.23335
83 3.3 0.805486 0.422119 0.582602 0.413311 1.7129 3.26269
84 3.34 0.749286 0.435114 0.5724 0.423352 1.88847 3.29582
85 3.38 0.690602 0.447379 0.570951 0.43361 2.27191 3.33664
86 3.42 0.66673 0.459502 0.570957 0.444112 2.47615 3.38218
87 3.46 0.662596 0.471833 0.560145 0.454657 2.86174 3.43606
88 3.5 0.629239 0.483816 0.578189 0.465795 3.23584 3.49839
89 3.54 0.637848 0.496242 0.584031 0.477305 3.59073 3.56915
90 3.58 0.641167 0.509017 0.589755 0.489191 3.82534 3.64625
91 3.62 0.634977 0.521953 0.621458 0.501998 4.15957 3.73197
92 3.66 0.67638 0.536038 0.626829 0.515203 4.42796 3.82525
93 3.7 0.688353 0.550688 0.647835 0.52915 4.80336 3.92866
94 3.74 0.711856 0.566167 0.666772 0.543816 4.93807 4.03728
95 3.78 0.743338 0.582678 0.704993 0.559657 4.94001 4.14828
96 3.82 0.792893 0.600665 0.724477 0.576282 5.36273 4.27134
97 3.86 0.814323 0.619527 0.749711 0.593848 5.35374 4.39678
98 3.9 0.861303 0.639892 0.761888 0.612072 5.30904 4.52377
99 3.94 0.893582 0.661456 0.790951 0.631381 5.18204 4.65027
100 3.98 0.940006 0.684604 0.812921 0.651631 4.81628 4.77025
101 4.02 0.962329 0.70878 0.846904 0.673153 4.72216 4.89025
102 4.06 0.989947 0.734148 0.84966 0.695178 4.58243 5.00904
103 4.1 1.01603 0.760699 0.870491 0.718189 4.32067 5.12326
104 4.14 1.00935 0.787593 0.901814 0.742496 4.44762 5.24313
105 4.18 1.0192 0.815277 0.897941 0.767169 4.49285 5.36658
106 4.22 1.00442 0.843083 0.919072 0.792907 4.43564 5.4908
107 4.26 0.989004 0.870985 0.939722 0.819725 4.61984 5.62264
108 4.3 0.946311 0.898186 0.95554 0.847509 4.88608 5.76472
109 4.34 0.925003 0.925271 0.982317 0.876606 5.05269 5.91438
110 4.38 0.890465 0.951828 1.01041 0.907089 5.39156 6.07703
111 4.42 0.88234 0.978625 1.03832 0.938989 5.68493 6.25169
112 4.46 0.868729 1.00549 1.07312 0.972557 5.96591 6.43831
113 4.5 0.858348 1.03251 1.09957 1.00757 6.06838 6.63155
114 4.54 0.845831 1.05961 1.10856 1.0435 6.51762 6.84281
115 4.58 0.863184 1.08776 1.11035 1.08013 6.69973 7.06381
116 4.62 0.869589 1.11661 1.12647 1.11794 6.77782 7.29132
117 4.66 0.880366 1.14633 1.10511 1.15568 7.06977 7.53274
118 4.7 0.901788 1.1773 1.10399 1.19403 6.95736 7.77443
119 4.74 0.902466 1.20882 1.07831 1.23213 7.17544 8.02795
120 4.78 0.923151 1.24161 1.05928 1.27019 7.12212 8.28385
121 4.82 0.917751 1.27476 1.02445 1.30762 7.31693 8.55117
122 4.86 0.931232 1.30895 1.01577 1.34535 7.36412 8.8247
123 4.9 0.936131 1.34389 0.987616 1.38264 7.4258 9.10508
124 4.94 0.941601 1.37961 0.970305 1.41987 7.52144 9.39373
125 4.98 0.956746 1.4165 0.95148 1.45698 7.49515 9.68604
126 5.02 0.918837 1.4525 0.938335 1.49417 7.59856 9.98717
127 5.06 0.933873 1.48967 0.93513 1.53182 7.40939 10.2855
128 5.1 0.924573 1.52705 0.917925 1.56936 7.46427 10.5908
129 5.14 0.915818 1.56466 0.903375 1.6069 7.33382 10.8955
130 5.18 0.91585 1.60287 0.874709 1.6438 7.18212 11.1986
131 5.22 0.897888 1.6409 0.883896 1.68168 6.92685 11.4954
132 5.26 0.875391 1.67855 0.859886 1.71909 6.77682 11.7902
133 5.3 0.882656 1.7171 0.849269 1.75661 6.54165 12.0792
134 5.34 0.860722 1.75525 0.838115 1.79419 6.11836 12.3536
135 5.38 0.840016 1.79305 0.821329 1.83158 6.12244 12.6322
136 5.42 0.833344 1.83111 0.816754 1.86931 5.79079 12.8997
137 5.46 0.822896 1.86924 0.786046 1.90616 5.72137 13.168
138 5.5 0.815561 1.90759 0.765337 1.94256 5.40788 13.4252
139 5.54 0.793467 1.94545 0.75354 1.97893 5.43937 13.6877
140 5.58 0.785027 1.98345 0.739719 2.01515 5.42405 13.9533
141 5.62 0.779445 2.02172 0.730905 2.05146 5.20724 14.212
142 5.66 0.769875 2.06006 0.720499 2.08775 5.14859 14.4713
143 5.7 0.773882 2.09915 0.703676 2.12371 5.16722 14.7353
144 5.74 0.755109 2.13783 0.705381 2.16025 5.08055 14.9986
145 5.78 0.757239 2.17715 0.701275 2.1971 5.11152 15.2671
146 5.82 0.741867 2.21622 0.687543 2.23372 5.0892 15.5382
147 5.86 0.748697 2.25619 0.683625 2.27064 5.13908 15.8157
148 5.9 0.745019 2.2965 0.686324 2.30821 5.0996 16.0949
149 5.94 0.740681 2.33713 0.683529 2.34613 5.26419 16.387
150 5.98 0.74825 2.37873 0.678388 2.38428 5.41019 16.6912
151 6.02 0.741398 2.42049 0.687749 2.42348 5.47513 17.0032
152 6.06 0.733999 2.4624 0.689751 2.46331 5.59355 17.3263
153 6.1 0.747552 2.50564 0.690996 2.50374 5.73922 17.6621
154 6.14 0.735323 2.54873 0.689625 2.54463 5.87899 18.0106
155 6.18 0.734894 2.59237 0.705291 2.58699 6.00289 18.3712
156 6.22 0.738036 2.63676 0.705432 2.62991 6.21669 18.7494
157 6.26 0.734823 2.68152 0.71252 2.67382 6.18187 19.1304
158 6.3 0.732396 2.72671 0.730477 2.71941 6.3783 19.5285
159 6.34 0.737642 2.7728 0.749063 2.76676 6.51737 19.9404
160 6.38 0.733541 2.81922 0.755827 2.81514 6.5736 20.3612
161 6.42 0.731552 2.86609 0.773671 2.86528 6.69739 20.7953
162 6.46 0.744182 2.91437 0.772055 2.91595 6.75734 21.2388
163 6.5 0.741136 2.96305 0.789919 2.96843 6.74704 21.687
164 6.54 0.741041 3.01232 0.798139 3.02212 6.74941 22.141
165 6.58 0.742499 3.0623 0.812359 3.07743 6.8726 22.6089
166 6.62 0.751733 3.11351 0.819033 3.13387 6.85749 23.0815
167 6.66 0.747565 3.16506 0.821851 3.1912 6.8699 23.5607
168 6.7 0.749115 3.21734 0.839619 3.25047 6.94576 24.051
169 6.74 0.759264 3.27095 0.841694 3.3106 6.95452 24.5479
170 6.78 0.760801 3.32532 0.847878 3.37189 6.95636 25.0507
171 6.82 0.768142 3.38086 0.863725 3.43507 6.85344 25.552
172 6.86 0.772361 3.43737 0.858263 3.49858 6.98932 26.0693
173 6.9 0.78265 3.49529 0.87604 3.56417 6.91497 26.587
174 6.94 0.794751 3.5548 0.859345 3.62926 6.8614 27.1067
175 6.98 0.797621 3.61521 0.869053 3.69584 6.86148 27.6324
176 7.02 0.801857 3.67664 0.863186 3.76273 6.82296 28.1611
177 7.06 0.804212 3.73895 0.869428 3.83088 6.84187 28.6974
178 7.1 0.815478 3.80286 0.870267 3.89987 6.79583 29.2361
179 7.14 0.820465 3.86788 0.866118 3.96931 6.80457 29.7816
180 7.18 0.821463 3.93372 0.86785 4.03966 6.76624 30.3302
181 7.22 0.833866 4.00129 0.87263 4.1112 6.66795 30.8768
182 7.26 0.833555 4.06959 0.866422 4.18301 6.60011 31.4238
183 7.3 0.829566 4.13831 0.877272 4.25653 6.59629 31.9766
184 7.34 0.840404 4.2087 0.872586 4.33046 6.6271 32.5381
185 7.38 0.835323 4.27942 0.856962 4.40385 6.58175 33.1018
186 7.42 0.83475 4.35087 0.861463 4.47844 6.50317 33.6648
187 7.46 0.841495 4.42367 0.855625 4.55332 6.49316 34.2331
188 7.5 0.836031 4.49678 0.85984 4.62938 6.4248 34.8014
189 7.54 0.834062 4.57049 0.857308 4.70602 6.33092 35.3674
190 7.58 0.836542 4.64521 0.845162 4.78239 6.2835 35.9352
191 7.62 0.833868 4.72048 0.839609 4.85905 6.21912 36.503
192 7.66 0.833738 4.79653 0.836693 4.93626 6.0658 37.0627
193 7.7 0.838043 4.87377 0.835499 5.01416 6.03811 37.6257
194 7.74 0.830216 4.95109 0.832635 5.0926 6.09026 38.1995
195 7.78 0.834806 5.02964 0.822643 5.1709 5.95986 38.7667
196 7.82 0.842464 5.10973 0.820354 5.24979 5.90173 39.3343
197 7.86 0.832688 5.1897 0.822143 5.32966 5.83121 39.9008
198 7.9 0.833784 5.27059 0.814899 5.40964 5.80869 40.4709
199 7.94 0.834449 5.35238 0.80906 5.48985 5.78243 41.0442
200 7.98 0.830599 5.4346 0.803618 5.57033 5.7715 41.6221
2000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
