# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0 0 0 0
39 1.54 0 0 0 0 0 0
40 1.58 0 0 0 0 0 0
41 1.62 0 0 0 0 0.02338 9.6494e-05
42 1.66 0 0 0 0 0.675391 0.00302348
43 1.7 0 0 0 0 12.1932 0.0584432
44 1.74 0 0 0 0 58.5466 0.337215
45 1.78 0 0 0 0 120.043 0.935381
46 1.82 0 0 0 0 132.94 1.62792
47 1.86 0 0 0 0 100.628 2.17543
48 1.9 0 0 0 0 61.8884 2.52679
49 1.94 0 0 0 0 32.2681 2.71779
50 1.98 0 0 0 0 17.1581 2.82358
51 2.02 0 0 0 0 8.25021 2.87652
52 2.06 0 0 0 0 4.53514 2.90679
53 2.1 0 0 0 0 2.47652 2.92396
54 2.14 0 0 0.00105193 7.57576e-06 1.54521 2.93509
55 2.18 0 0 0.00481468 4.35606e-05 1.02855 2.94278
56 2.22 0 0 0.0178378 0.000181818 0.722075 2.94838
57 2.26 0 0 0.0631901 0.000689394 0.632677 2.95346
58 2.3 0 0 0.184171 0.00222159 0.494879 2.95757
59 2.34 0.000222506 1.89394e-06 0.434154 0.00596023 0.470623 2.96163
60 2.38 0.00215075 2.08333e-05 0.795567 0.0130473 0.411609 2.96529
61 2.42 0.0114409 0.000125 1.26054 0.0246572 0.356212 2.96858
62 2.46 0.0416704 0.000517045 1.75818 0.0413902 0.452875 2.97289
63 2.5 0.120848 0.00169129 2.20953 0.063108 0.494127 2.97774
64 2.54 0.299855 0.00469886 2.49327 0.0884053 0.564292 2.98347
65 2.58 0.57101 0.010608 2.62028 0.115835 0.709764 2.9909
66 2.62 0.96207 0.020875 2.59229 0.14382 0.858083 3.00016
67 2.66 1.35742 0.0358068 2.45483 0.171136 0.939428 3.01061
68 2.7 1.85642 0.0568466 2.26948 0.197155 0.998775 3.02206
69 2.74 2.23035 0.0828788 2.07522 0.221657 1.01613 3.03406
70 2.78 2.50617 0.112991 1.80946 0.24365 1.03475 3.04664
71 2.82 2.59995 0.145134 1.61795 0.263884 0.918157 3.05812
72 2.86 2.59952 0.178191 1.41386 0.282072 0.897645 3.06967
73 2.9 2.51034 0.211013 1.23178 0.298364 0.902241 3.0816
74 2.94 2.28465 0.241714 1.06544 0.312847 0.792662 3.09238
75 2.98 2.08861 0.270549 0.994987 0.326742 0.861357 3.10441
76 3.02 1.85586 0.296864 0.866206 0.339167 0.93063 3.11775
77 3.06 1.62616 0.320536 0.791365 0.35082 0.875889 3.13065
78 3.1 1.41828 0.341725 0.74463 0.362074 1.07477 3.1469
79 3.14 1.25276 0.360928 0.679366 0.372608 1.11809 3.16423
80 3.18 1.10435 0.37829 0.659049 0.383089 1.26407 3.18434
81 3.22 0.9597 0.393759 0.617921 0.393165 1.41038 3.20733
82 3.26 0.890329 0.40847 0.608059 0.403328 1.55112 3.23326
83 3.3 0.806006 0.422116 0.582905 0.413311 1.71658 3.26266
84 3.34 0.74925 0.43511 0.572157 0.423348 1.89204 3.29585
85 3.38 0.691421 0.44739 0.572926 0.433642 2.27359 3.3367
86 3.42 0.665969 0.4595 0.570723 0.44414 2.47079 3.38215
87 3.46 0.66175 0.471816 0.558307 0.454652 2.86331 3.43606
88 3.5 0.631396 0.483841 0.578555 0.465797 3.2457 3.49858
89 3.54 0.63704 0.496252 0.584004 0.477307 3.58404 3.56922
90 3.58 0.64066 0.509017 0.589538 0.489189 3.83633 3.64654
91 3.62 0.635596 0.521966 0.620326 0.501973 4.15624 3.7322
92 3.66 0.67571 0.536038 0.628238 0.515208 4.41858 3.82528
93 3.7 0.689033 0.550703 0.647364 0.529146 4.80611 3.92876
94 3.74 0.710864 0.566161 0.667601 0.543831 4.93489 4.03731
95 3.78 0.745093 0.582712 0.705549 0.559686 4.94551 4.14844
96 3.82 0.791603 0.60067 0.724689 0.576316 5.34846 4.27118
97 3.86 0.814855 0.619545 0.749512 0.593879 5.35074 4.39656
98 3.9 0.861261 0.639911 0.760347 0.612066 5.31685 4.52374
99 3.94 0.892362 0.661447 0.790913 0.631375 5.16992 4.64995
100 3.98 0.941191 0.684625 0.814707 0.65167 4.82121 4.77005
101 4.02 0.961906 0.708792 0.846341 0.67318 4.73586 4.89041
102 4.06 0.990712 0.73418 0.848962 0.695187 4.58097 5.00917
103 4.1 1.01591 0.760729 0.871094 0.718216 4.31559 5.12326
104 4.14 1.00753 0.787576 0.90163 0.742519 4.44741 5.24313
105 4.18 1.02194 0.815335 0.898174 0.767199 4.49497 5.36665
106 4.22 1.00376 0.843125 0.918352 0.792919 4.44002 5.49099
107 4.26 0.988554 0.871015 0.940539 0.819761 4.62412 5.62297
108 4.3 0.946067 0.89821 0.954583 0.847519 4.87036 5.76459
109 4.34 0.926187 0.925331 0.982909 0.876634 5.04919 5.91415
110 4.38 0.890232 0.951883 1.01005 0.907108 5.40089 6.0771
111 4.42 0.8813 0.97865 1.0374 0.938981 5.68885 6.25188
112 4.46 0.870157 1.00556 1.07367 0.972568 5.96253 6.4384
113 4.5 0.856863 1.03253 1.09904 1.00757 6.06305 6.63149
114 4.54 0.84579 1.05964 1.10973 1.04354 6.52625 6.84304
115 4.58 0.862155 1.08775 1.11012 1.08016 6.70233 7.06414
116 4.62 0.869947 1.11662 1.12698 1.11799 6.7727 7.29148
117 4.66 0.88167 1.14638 1.10428 1.1557 7.06566 7.53278
118 4.7 0.901855 1.17736 1.10508 1.19409 6.96999 7.77491
119 4.74 0.901068 1.20883 1.07836 1.2322 7.16599 8.02811
120 4.78 0.922733 1.24161 1.05691 1.27017 7.13431 8.28446
121 4.82 0.917759 1.27475 1.02622 1.30767 7.3069 8.55143
122 4.86 0.932425 1.30899 1.0148 1.34536 7.37329 8.82531
123 4.9 0.936897 1.34396 0.988772 1.3827 7.42885 9.10582
124 4.94 0.940009 1.37963 0.970752 1.41995 7.50767 9.39395
125 4.98 0.958026 1.41656 0.949637 1.45699 7.49561 9.6863
126 5.02 0.918262 1.45254 0.939389 1.49422 7.60225 9.98758
127 5.06 0.933828 1.48971 0.934991 1.53187 7.40824 10.2859
128 5.1 0.924856 1.52711 0.917788 1.56941 7.46785 10.5913
129 5.14 0.915498 1.56471 0.903378 1.60694 7.33037 10.8959
130 5.18 0.916487 1.60294 0.874667 1.64385 7.17796 11.1988
131 5.22 0.897353 1.64095 0.883898 1.68173 6.93327 11.4959
132 5.26 0.875437 1.67861 0.859975 1.71915 6.77206 11.7906
133 5.3 0.88296 1.71717 0.849099 1.75666 6.53915 12.0794
134 5.34 0.860851 1.75533 0.837357 1.79421 6.1195 12.3539
135 5.38 0.840018 1.79313 0.821914 1.83162 6.12143 12.6325
136 5.42 0.83322 1.83118 0.817288 1.86938 5.7919 12.9001
137 5.46 0.821917 1.86928 0.785806 1.90622 5.73138 13.1688
138 5.5 0.816328 1.90767 0.763667 1.94255 5.39679 13.4255
139 5.54 0.793111 1.94551 0.754798 1.97898 5.44177 13.6882
140 5.58 0.78538 1.98353 0.739606 2.0152 5.41788 13.9535
141 5.62 0.7796 2.02181 0.73087 2.0515 5.21476 14.2125
142 5.66 0.769192 2.06012 0.720389 2.08779 5.1477 14.4719
143 5.7 0.774182 2.09922 0.703123 2.12372 5.16572 14.7358
144 5.74 0.754407 2.13786 0.705566 2.16028 5.06789 14.9984
145 5.78 0.75775 2.17722 0.702142 2.19717 5.118 15.2673
146 5.82 0.741507 2.21627 0.686514 2.23374 5.09439 15.5387
147 5.86 0.749229 2.25626 0.68475 2.27072 5.14241 15.8164
148 5.9 0.745298 2.2966 0.685945 2.30827 5.08936 16.095
149 5.94 0.740162 2.3372 0.683872 2.34622 5.27495 16.3877
150 5.98 0.747975 2.37878 0.678086 2.38435 5.39907 16.6913
151 6.02 0.741194 2.42054 0.687183 2.42352 5.48333 17.0038
152 6.06 0.733764 2.46243 0.690341 2.46338 5.58604 17.3264
153 6.1 0.747745 2.50569 0.689894 2.50376 5.74169 17.6624
154 6.14 0.735288 2.54878 0.689304 2.54462 5.88033 18.0111
155 6.18 0.735114 2.59243 0.705383 2.58699 6.0042 18.3717
156 6.22 0.737938 2.63681 0.706332 2.62997 6.20847 18.7494
157 6.26 0.734787 2.68158 0.711963 2.67384 6.18732 19.1307
158 6.3 0.731993 2.72675 0.731049 2.71947 6.38418 19.5292
159 6.34 0.737637 2.77284 0.749057 2.76682 6.5079 19.9406
160 6.38 0.733655 2.81927 0.755583 2.81519 6.58232 20.362
161 6.42 0.731664 2.86615 0.77413 2.86537 6.70303 20.7965
162 6.46 0.743912 2.91441 0.772479 2.91607 6.7526 21.2396
163 6.5 0.741475 2.96312 0.78914 2.9685 6.7472 21.6879
164 6.54 0.740977 3.01239 0.797931 3.02217 6.75338 22.1422
165 6.58 0.742998 3.0624 0.812682 3.07751 6.86944 22.6099
166 6.62 0.751559 3.1136 0.819351 3.13398 6.85436 23.0823
167 6.66 0.747666 3.16516 0.82135 3.19127 6.87233 23.5617
168 6.7 0.748156 3.21737 0.840115 3.25058 6.94269 24.0518
169 6.74 0.759227 3.27099 0.841707 3.31071 6.95374 24.5486
170 6.78 0.761373 3.3254 0.847915 3.37201 6.96314 25.052
171 6.82 0.768131 3.38095 0.863424 3.43517 6.85047 25.5531
172 6.86 0.772117 3.43743 0.857991 3.49866 6.98334 26.0699
173 6.9 0.782715 3.49537 0.875619 3.56423 6.91249 26.5875
174 6.94 0.795522 3.55493 0.86023 3.62938 6.86786 27.1077
175 6.98 0.796957 3.6153 0.868245 3.69591 6.86325 27.6335
176 7.02 0.80172 3.67672 0.863364 3.76282 6.82221 28.1623
177 7.06 0.804516 3.73906 0.869845 3.831 6.83334 28.6979
178 7.1 0.815172 3.80295 0.869938 3.89997 6.80444 29.2373
179 7.14 0.820617 3.86798 0.866856 3.96947 6.7914 29.7818
180 7.18 0.821046 3.93379 0.866967 4.03975 6.78337 30.3318
181 7.22 0.834223 4.00139 0.872426 4.11127 6.65272 30.8772
182 7.26 0.834208 4.06975 0.866769 4.18312 6.60289 31.4245
183 7.3 0.829229 4.13845 0.877456 4.25666 6.59905 31.9775
184 7.34 0.840205 4.20882 0.872365 4.33057 6.62412 32.5388
185 7.38 0.835282 4.27955 0.857075 4.40398 6.58707 33.103
186 7.42 0.835395 4.35105 0.86105 4.47853 6.50137 33.6659
187 7.46 0.840798 4.42379 0.856233 4.55347 6.49174 34.234
188 7.5 0.835839 4.49689 0.859607 4.62951 6.42922 34.8028
189 7.54 0.834087 4.57061 0.857669 4.7062 6.32414 35.3682
190 7.58 0.836778 4.64535 0.844597 4.78251 6.28213 35.9358
191 7.62 0.833702 4.72061 0.839486 4.85917 6.222 36.504
192 7.66 0.833531 4.79664 0.836427 4.93635 6.06551 37.0637
193 7.7 0.838578 4.87394 0.836454 5.01434 6.0392 37.6268
194 7.74 0.82979 4.95122 0.832575 5.09278 6.08654 38.2002
195 7.78 0.834645 5.02976 0.821787 5.17101 5.97039 38.7685
196 7.82 0.841886 5.1098 0.821161 5.24998 5.89576 39.3355
197 7.86 0.833357 5.18984 0.821304 5.32977 5.82101 39.9011
198 7.9 0.8339 5.27075 0.814995 5.40977 5.81759 40.4721
199 7.94 0.8341 5.3525 0.809174 5.48999 5.78215 41.0454
200 7.98 0.831037 5.43477 0.803447 5.57045 5.76608 41.6228
2000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
