# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
535 -0.170915 -0.246524 0.312617 -0.104823
540 -0.159731 -0.204568 0.317546 -0.0467527
545 -0.131012 -0.164653 0.288425 -0.0072408
550 -0.0865676 -0.130915 0.225241 0.00775812
555 -0.0346584 -0.102606 0.139988 0.00272309
560 0.0165391 -0.0758469 0.054747 -0.00456077
565 0.0628624 -0.0470192 -0.00987528 0.00596791
570 0.101925 -0.0172533 -0.0473306 0.0373409
575 0.130462 0.0105595 -0.066142 0.0748794
580 0.146932 0.0362514 -0.0814711 0.101712
585 0.154584 0.0611742 -0.103474 0.112284
590 0.155424 0.080473 -0.12953 0.106368
595 0.145854 0.0810144 -0.148572 0.0782967
600 0.12189 0.0538149 -0.153402 0.022303
605 0.0861998 0.00693057 -0.146196 -0.0530655
610 0.0450016 -0.0404198 -0.132457 -0.127875
615 0.00145038 -0.0710406 -0.113884 -0.183475
620 -0.0432831 -0.077876 -0.089763 -0.210922
625 -0.0880438 -0.0639722 -0.0613274 -0.213343
630 -0.132098 -0.0363503 -0.0344131 -0.202861
635 -0.174343 0.00152852 -0.0178203 -0.190635
640 -0.211938 0.0481439 -0.0160892 -0.179883
645 -0.238351 0.0963027 -0.0284904 -0.170539
650 -0.24482 0.133038 -0.0520322 -0.163814
655 -0.225165 0.15011 -0.0794606 -0.154516
660 -0.180051 0.150233 -0.0992479 -0.129066
665 -0.117059 0.142015 -0.104625 -0.079669
670 -0.0472535 0.131299 -0.099415 -0.0153694
675 0.0191116 0.117121 -0.0917457 0.0444868
680 0.0744382 0.0964746 -0.0824689 0.0884439
685 0.114573 0.070197 -0.0646461 0.120123
690 0.139835 0.0436779 -0.0364093 0.147104
695 0.152144 0.0222833 -0.00694634 0.167481
700 0.150895 0.00395348 0.0140174 0.168866
705 0.135274 -0.0194636 0.0272279 0.143038
710 0.110249 -0.0533855 0.0408542 0.0977182
715 0.0866261 -0.0941367 0.0594956 0.0519851
720 0.0729065 -0.129623 0.0798397 0.0231234
725 0.0704615 -0.147057 0.0975893 0.0209937
730 0.0775588 -0.144386 0.113294 0.0464672
735 0.0940677 -0.12876 0.127217 0.0925249
740 0.117437 -0.1076 0.132727 0.142564
745 0.139051 -0.0861311 0.119637 0.172557
750 0.149178 -0.0693506 0.0811238 0.160952
755 0.142159 -0.0635621 0.0167782 0.0953753
760 0.115985 -0.0721999 -0.0640748 -0.0202899
765 0.0723172 -0.0904445 -0.144952 -0.163079
770 0.0181314 -0.108043 -0.210606 -0.300518
775 -0.0362334 -0.115751 -0.249064 -0.401049
780 -0.0812022 -0.107948 -0.24955 -0.4387
785 -0.106292 -0.0821257 -0.207853 -0.396272
790 -0.10192 -0.0373445 -0.129983 -0.269248
795 -0.0698555 0.0260697 -0.0294177 -0.0732035
800 -0.0227115 0.101798 0.0763346 0.155421
805 0.0287737 0.176032 0.16893 0.373736
810 0.0798349 0.233264 0.233634 0.546732
815 0.125943 0.26229 0.264772 0.653005
820 0.159066 0.2585 0.269587 0.687153
825 0.170385 0.225017 0.261225 0.656627
830 0.1573 0.168983 0.245213 0.571496
835 0.126949 0.101009 0.217113 0.445071
840 0.0924146 0.0364566 0.17207 0.300941
845 0.0635608 -0.0115343 0.113579 0.165605
850 0.0411219 -0.037919 0.0537924 0.0569952
855 0.0199411 -0.0423529 0.00420679 -0.018205
