# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
0 6.33761 6.54821 6.48147 19.3673
5 6.061 6.35055 6.1999 18.6114
10 5.24702 5.58652 5.37273 16.2063
15 4.02325 4.3788 4.12146 12.5235
20 2.56803 2.90615 2.62244 8.09662
25 1.07433 1.36818 1.07146 3.51397
30 -0.280692 -0.0480155 -0.347896 -0.676604
35 -1.35887 -1.19557 -1.48956 -4.04401
40 -2.07853 -1.98806 -2.263 -6.32959
45 -2.42076 -2.40832 -2.64366 -7.47275
50 -2.42422 -2.49668 -2.672 -7.5929
55 -2.1718 -2.32902 -2.43535 -6.93617
60 -1.77169 -1.99604 -2.03991 -5.80764
65 -1.32971 -1.58954 -1.58804 -4.50729
70 -0.925856 -1.19106 -1.16619 -3.28311
75 -0.606348 -0.858287 -0.834275 -2.29891
80 -0.391152 -0.618921 -0.618006 -1.62808
85 -0.282164 -0.475188 -0.514596 -1.27195
90 -0.264001 -0.410415 -0.503864 -1.17828
95 -0.307271 -0.394468 -0.554015 -1.25575
100 -0.376675 -0.392364 -0.625826 -1.39486
105 -0.438184 -0.376916 -0.680914 -1.49601
110 -0.462678 -0.337472 -0.692948 -1.4931
115 -0.431518 -0.279175 -0.652962 -1.36365
120 -0.342077 -0.215489 -0.56502 -1.12259
125 -0.209036 -0.158874 -0.439526 -0.807436
130 -0.0625909 -0.115274 -0.290656 -0.46852
135 0.0612016 -0.0867163 -0.137587 -0.163102
140 0.132979 -0.0777723 -0.0031723 0.0520341
145 0.137186 -0.0916718 0.0939215 0.139436
150 0.075092 -0.120642 0.14852 0.10297
155 -0.0367796 -0.148608 0.168979 -0.0164089
160 -0.170739 -0.16476 0.168109 -0.167391
165 -0.295821 -0.168214 0.156806 -0.307229
170 -0.385635 -0.162678 0.142133 -0.406181
175 -0.422964 -0.149735 0.127184 -0.445515
180 -0.40554 -0.127885 0.11181 -0.421614
185 -0.345959 -0.0976794 0.0964247 -0.347214
190 -0.261016 -0.0658416 0.0852035 -0.241654
195 -0.164884 -0.0437943 0.0828453 -0.125833
200 -0.0710066 -0.0393154 0.0885576 -0.0217644
205 0.00622024 -0.0522349 0.0984836 0.052469
210 0.05711 -0.0790405 0.108677 0.0867462
215 0.0832224 -0.116427 0.115471 0.0822657
220 0.0918193 -0.157641 0.11794 0.0521178
225 0.086342 -0.190182 0.118825 0.0149847
230 0.0703127 -0.200876 0.122497 -0.00806636
235 0.0500146 -0.183343 0.131893 -0.00143519
240 0.0298149 -0.142521 0.143514 0.030808
245 0.0104121 -0.0926125 0.14514 0.0629391
250 -0.0117678 -0.0479522 0.121852 0.0621324
255 -0.0453507 -0.0160779 0.0650449 0.0036163
260 -0.0981737 0.000835295 -0.0222244 -0.119563
265 -0.16915 0.000119497 -0.128077 -0.297108
270 -0.247216 -0.0208488 -0.23738 -0.505445
275 -0.315686 -0.0582674 -0.335173 -0.709127
280 -0.359894 -0.100258 -0.408487 -0.868639
285 -0.372818 -0.133918 -0.448695 -0.955431
290 -0.352938 -0.152401 -0.453734 -0.959073
295 -0.298774 -0.153811 -0.428833 -0.881418
300 -0.209787 -0.138074 -0.383953 -0.731814
305 -0.092863 -0.10477 -0.329008 -0.526641
310 0.0346005 -0.0547975 -0.269917 -0.290114
315 0.150531 0.00584012 -0.208629 -0.0522581
320 0.23862 0.0657608 -0.148344 0.156037
325 0.290478 0.115486 -0.094104 0.31186
330 0.301446 0.153028 -0.0460415 0.408432
335 0.272231 0.179402 0.000521589 0.452154
340 0.212464 0.192979 0.0471389 0.452581
345 0.136524 0.19103 0.0868508 0.414405
