# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
0 6.4466 6.80888 6.30276 19.5582
5 6.18437 6.47201 6.08453 18.7409
10 5.36375 5.58555 5.33131 16.2806
15 4.11109 4.28036 4.15786 12.5493
20 2.61622 2.73868 2.73339 8.08829
25 1.09109 1.15738 1.24938 3.49786
30 -0.273269 -0.289214 -0.11559 -0.678073
35 -1.33858 -1.47448 -1.2239 -4.03695
40 -2.03652 -2.32367 -1.99118 -6.35137
45 -2.36439 -2.80796 -2.39013 -7.56248
50 -2.37041 -2.94388 -2.44943 -7.76372
55 -2.14427 -2.79189 -2.24251 -7.17867
60 -1.79904 -2.44312 -1.86368 -6.10584
65 -1.44113 -1.99673 -1.4076 -4.84545
70 -1.14489 -1.53955 -0.959846 -3.64429
75 -0.94349 -1.13405 -0.588471 -2.66601
80 -0.833919 -0.81572 -0.334255 -1.98389
85 -0.791198 -0.594559 -0.206264 -1.59202
90 -0.784612 -0.457168 -0.188808 -1.43059
95 -0.785351 -0.37653 -0.251571 -1.41345
100 -0.765506 -0.323514 -0.355269 -1.44429
105 -0.701961 -0.272898 -0.457781 -1.43264
110 -0.586207 -0.207914 -0.523534 -1.31766
115 -0.430256 -0.122923 -0.531563 -1.08474
120 -0.26102 -0.0202057 -0.479016 -0.760241
125 -0.109515 0.091164 -0.379462 -0.397814
130 -0.000533501 0.193634 -0.258925 -0.0658241
135 0.0545526 0.265324 -0.144944 0.174932
140 0.0575205 0.286615 -0.0563262 0.28781
145 0.017112 0.244449 -0.00220102 0.25936
150 -0.0533129 0.138702 0.0167078 0.102097
155 -0.133088 -0.0108932 0.00794949 -0.136032
160 -0.198552 -0.168992 -0.0146712 -0.382216
165 -0.233391 -0.300951 -0.0369587 -0.5713
170 -0.229013 -0.383629 -0.0484477 -0.66109
175 -0.184701 -0.40783 -0.0426078 -0.635139
180 -0.113783 -0.377892 -0.0154223 -0.507097
185 -0.0385109 -0.306437 0.0322457 -0.312702
190 0.0247929 -0.208643 0.0939979 -0.0898525
195 0.0735261 -0.101947 0.161479 0.133059
200 0.114386 -0.00542753 0.225563 0.334522
205 0.153664 0.0667886 0.274621 0.495073
210 0.191753 0.112039 0.299433 0.603226
215 0.221448 0.136816 0.296832 0.655096
220 0.232012 0.143968 0.268011 0.643991
225 0.218352 0.127006 0.216239 0.561597
230 0.183572 0.0774579 0.143527 0.404556
235 0.133222 -0.00199962 0.0531337 0.184356
240 0.0709968 -0.0924412 -0.0452732 -0.0667176
245 0.00361214 -0.170707 -0.140741 -0.307837
250 -0.0566299 -0.221549 -0.226011 -0.50419
255 -0.0979315 -0.237927 -0.295437 -0.631296
260 -0.115587 -0.221104 -0.341706 -0.678397
265 -0.111347 -0.180024 -0.357403 -0.648774
270 -0.0894781 -0.127257 -0.339244 -0.555979
275 -0.0581227 -0.0788127 -0.286252 -0.423187
280 -0.0285872 -0.0489343 -0.199039 -0.27656
285 -0.0112773 -0.0389161 -0.085558 -0.135751
290 -0.0144323 -0.035535 0.0354702 -0.014497
295 -0.0440275 -0.0225867 0.140432 0.0738182
300 -0.100474 0.00949581 0.209262 0.118283
