# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
0 6.31664 6.29742 5.85397 18.468
5 6.03838 5.91326 5.53391 17.4855
10 5.23263 5.01461 4.7272 14.9744
15 4.03644 3.73693 3.56364 11.337
20 2.62782 2.26122 2.21114 7.10018
25 1.19003 0.783391 0.847888 2.82131
30 -0.115408 -0.518657 -0.362126 -0.996191
35 -1.16506 -1.51547 -1.29666 -3.9772
40 -1.88435 -2.14564 -1.89546 -5.92544
45 -2.25567 -2.41552 -2.16166 -6.83284
50 -2.31608 -2.38309 -2.14773 -6.8469
55 -2.14089 -2.13569 -1.93634 -6.21293
60 -1.82022 -1.77015 -1.61978 -5.21015
65 -1.43939 -1.37916 -1.28201 -4.10055
70 -1.0715 -1.03693 -0.98391 -3.09234
75 -0.773871 -0.78658 -0.759056 -2.31951
80 -0.579797 -0.63872 -0.617618 -1.83613
85 -0.494312 -0.580045 -0.550462 -1.62482
90 -0.499143 -0.583552 -0.535846 -1.61854
95 -0.562837 -0.617955 -0.547844 -1.72864
100 -0.648424 -0.653037 -0.564096 -1.86556
105 -0.718475 -0.658941 -0.569607 -1.94702
110 -0.741813 -0.609806 -0.556816 -1.90844
115 -0.701406 -0.494955 -0.523753 -1.72011
120 -0.600092 -0.327187 -0.472608 -1.39989
125 -0.456253 -0.137323 -0.408751 -1.00233
130 -0.292149 0.0423785 -0.33851 -0.588281
135 -0.126773 0.1882 -0.268236 -0.206809
140 0.0234285 0.285517 -0.203353 0.105592
145 0.140775 0.327072 -0.147313 0.320534
150 0.206782 0.312907 -0.10278 0.41691
155 0.20952 0.250118 -0.0719318 0.387706
160 0.150951 0.151918 -0.0552086 0.24766
165 0.0479191 0.0367805 -0.04984 0.0348596
170 -0.0717191 -0.0721402 -0.0513902 -0.195249
175 -0.1763 -0.151623 -0.0563282 -0.384251
180 -0.239027 -0.186328 -0.0611693 -0.486525
185 -0.2465 -0.176374 -0.061887 -0.484761
190 -0.202765 -0.137388 -0.0561749 -0.396328
195 -0.125163 -0.0894028 -0.0450702 -0.259636
200 -0.0345772 -0.0481988 -0.0307309 -0.113507
205 0.0495821 -0.0223378 -0.013499 0.0137453
210 0.111372 -0.0149742 0.00452934 0.100927
215 0.142512 -0.0252046 0.0194489 0.136756
220 0.144209 -0.0484096 0.0306776 0.126477
225 0.121747 -0.0768057 0.0411456 0.0860869
230 0.080485 -0.100864 0.0534858 0.0331064
235 0.027432 -0.113269 0.067322 -0.0185148
240 -0.0303709 -0.114346 0.0780498 -0.0666671
245 -0.0861722 -0.110387 0.0815537 -0.115006
250 -0.130624 -0.106093 0.0773569 -0.15936
255 -0.151412 -0.102054 0.0661264 -0.18734
260 -0.138481 -0.0992514 0.0499066 -0.187826
265 -0.0919339 -0.0996739 0.0327481 -0.15886
270 -0.0202287 -0.102545 0.0196767 -0.103097
275 0.0630079 -0.104167 0.0163861 -0.0247729
280 0.140091 -0.100414 0.0271291 0.0668067
285 0.193198 -0.0894199 0.0489011 0.152679
290 0.207631 -0.0720958 0.0710466 0.206582
295 0.174522 -0.0474303 0.0838415 0.210933
300 0.0983277 -0.0104221 0.0818571 0.169763
305 0.00282155 0.0415948 0.0626114 0.107028
310 -0.0800864 0.0996533 0.0290574 0.0486243
315 -0.129396 0.142078 -0.00913583 0.00354617
320 -0.139038 0.148816 -0.0424601 -0.032682
325 -0.110057 0.115268 -0.0676568 -0.0624458
330 -0.0454214 0.0501777 -0.0857848 -0.0810285
335 0.0475571 -0.0311305 -0.0984253 -0.0819986
340 0.153561 -0.111189 -0.104265 -0.061893
345 0.249335 -0.175668 -0.097124 -0.0234564
350 0.309305 -0.217491 -0.0716896 0.0201245
355 0.316681 -0.235446 -0.030171 0.0510644
360 0.270307 -0.231097 0.018718 0.0579281
