Frequency_THz,VDOS_0.25Kps,VDOS_0.5Kps,VDOS_1.0Kps,VDOS_2.0Kps,VDOS_5.0Kps
0.0,0.0077031172752191224,0.004211082631613657,0.012333094114136915,0.0038982848201328697,0.01860643074740857
0.01999000499750125,0.008189812123359003,0.005493558194399208,0.01225960643416522,0.005955066789854682,0.018758432521231112
0.0399800099950025,0.00950478692089467,0.008393297879668839,0.0119695083427877,0.01011136939504743,0.019182209693181376
0.05997001499250375,0.01129100635936012,0.01199260576419496,0.01127431002981774,0.01512590644118603,0.019829732742498503
0.079960019990005,0.013092017581647627,0.015819926760313706,0.009984374252955414,0.020610463211055696,0.02072176848793432
0.09995002498750626,0.014429778613121134,0.019461411777003466,0.00826480347146501,0.026198208132427157,0.02196150115946841
0.1199400299850075,0.014909426760471795,0.0225379079245189,0.007418318325262522,0.031511465890389806,0.02364235287484645
0.13993003498250875,0.014388711630461492,0.024761429028301824,0.009467909988820158,0.036222432008163774,0.025717218343512708
0.15992003998001,0.013251073385192174,0.025970322409532967,0.013684344058053613,0.04007865023455621,0.027928381143380736
0.17991004497751126,0.012763299859537525,0.026129002458071992,0.017996665452304578,0.042882626391689674,0.029832008682793957
0.1999000499750125,0.014665333850053818,0.025304725108665025,0.020822622136485325,0.04445667372394961,0.030886374846076155
0.21989005497251377,0.01924084222253573,0.023642076276898145,0.021019379231333672,0.04463657900247744,0.030574442907034458
0.239880059970015,0.025307972535623315,0.021352749591854785,0.017924183811730762,0.04331716942461399,0.02854794272676122
0.25987006496751625,0.03167595764246057,0.018726535086500132,0.011480289660889653,0.040533680173548574,0.024775741188545395
0.2798600699650175,0.03746498101639304,0.01615241281075972,0.0025903031263068785,0.03653449252052953,0.019684387036335346
0.29985007496251875,0.04201202170742747,0.014115131298478837,0.008997831198040136,0.03179811352475682,0.014359979906956213
0.31984007996002,0.04485621969455149,0.013107469563095747,0.019997801661485855,0.02695939024802143,0.010998277379347129
0.33983008495752126,0.04586471816146418,0.013465411398697712,0.02949737457257148,0.02262778579808426,0.011929107791137388
0.3598200899550225,0.04548578976086964,0.015345945049469104,0.035982035628100144,0.01915638334564248,0.015732163981903295
0.37981009495252377,0.044993049501679844,0.018884200695287807,0.0385492750541067,0.01664657700867556,0.02016541720195215
0.399800099950025,0.04626403660812745,0.024154855932285075,0.037357518908463824,0.01559510296958263,0.024515813000585814
0.4197901049475263,0.0505664765830689,0.03095881818243916,0.03439099558175835,0.017606712254777526,0.028566519071044783
0.43978010994502753,0.05730418600128233,0.038749434114376216,0.03420461666768124,0.02390660739104878,0.031959789398765724
0.4597701149425288,0.06442259981870924,0.04673559118296568,0.0411321899269986,0.033715658035972505,0.034241648876839975
0.47976011994003,0.0696813730280914,0.054054694655576406,0.05392866523913005,0.045388858875515276,0.035370442762366526
0.49975012493753124,0.07145738052103943,0.05994291713640266,0.06840824166367548,0.0572201613403088,0.03635495826555802
0.5197401299350325,0.0690733691012079,0.0638598534179702,0.08110993516397808,0.06767453567035024,0.03935926212388678
0.5397301349325337,0.06294837649244422,0.06554202181970813,0.08969734369962501,0.07571899589366832,0.04629873403956774
0.559720139930035,0.054723721880755895,0.06498766357686998,0.09281538713772047,0.08125082271451924,0.057084589235744325
0.5797101449275363,0.04735220389053721,0.06240887525131407,0.09003013896692648,0.08539724549480034,0.07012745412898101
0.5997001499250375,0.04435629484283656,0.05820288375160302,0.0817538030569034,0.09027618103497131,0.0838521533562451
0.6196901549225388,0.04687457995076839,0.05296780509008308,0.06909272517355546,0.09784970520731456,0.09744134278734636
0.63968015992004,0.05197609254109461,0.0475126116272229,0.053620396445693046,0.10845588952394754,0.11087420294674549
0.6596701649175413,0.055592036711664815,0.04271365547301925,0.0371131051574344,0.1205019945181704,0.12453368824361052
0.6796601699150425,0.05482248685734712,0.039076855236424346,0.02130739880310497,0.1315274915624034,0.13859521360494373
0.6996501749125438,0.04835343807723969,0.03622148253900534,0.00788495961620981,0.13944054392875826,0.15253364755976276
0.719640179910045,0.037052584657158126,0.03291190236756113,0.004889730102239441,0.14322860096923312,0.1650236759721174
0.7396301849075463,0.027473545561403773,0.027743350904115942,0.011672128684316043,0.14315692537141314,0.1742109901096745
0.7596201899050475,0.03528754091096635,0.01983446252405172,0.016149483534274832,0.14058639729069536,0.1781245316241787
0.7796101949025488,0.0578963512645319,0.009177806221963614,0.019081482701730327,0.13748680554113107,0.17503468833104166
0.79960019990005,0.08373946969603195,0.004393891664152986,0.022405015393713736,0.13574722598881875,0.1636927343072355
0.8195902048975513,0.10729078047491405,0.017732818252667086,0.0275713873456475,0.13652829368109035,0.14347677198519287
0.8395802098950526,0.12532881615138383,0.030564316738905348,0.034319650536459814,0.13999486960665092,0.1145044593119168
0.8595702148925538,0.13589918003237056,0.04099632268766647,0.04117037919147721,0.14552603788914,0.07781958354307852
0.8795602198900551,0.13823903546977132,0.047696794875927824,0.0465745944464704,0.1521051309711449,0.0364768231621159
0.8995502248875563,0.13273906417103964,0.049864089160906885,0.04984738972827683,0.15857304556608295,0.023375365923933623
0.9195402298850576,0.12075712016979112,0.04733290765688953,0.052183376093477105,0.16371615034476605,0.06659053004077872
0.9395302348825588,0.10425017805528335,0.04061456901934148,0.057380497683482586,0.1663197533113255,0.11146367570450469
0.95952023988006,0.08525324830958074,0.030978750304095526,0.06989662921574065,0.16527048199583358,0.15040046214910222
0.9795102448775612,0.0653246247522113,0.021084720585399706,0.09051537026118468,0.1597083758762078,0.17972268512637554
0.9995002498750625,0.04526426448100193,0.017353519949430556,0.11601181159119077,0.14921700793747691,0.19704287947248203
1.0194902548725637,0.025960589290989877,0.02422770807222336,0.14184114925246347,0.1340950063185393,0.2015010488968689
1.039480259870065,0.016432025241574773,0.03487088480239965,0.1637251329321716,0.11585074459685638,0.19397666562376406
1.0594702648675662,0.03257471800178,0.04478169497589809,0.17839307244036137,0.09815600401136085,0.17702071016053528
1.0794602698650675,0.05655196296091643,0.0524866816223191,0.1841269555109826,0.08786965297173908,0.15444499737822673
1.0994502748625687,0.08070845654054479,0.05775395199545701,0.18111288491980945,0.0920846285058665,0.13060254998931395
1.11944027986007,0.10205994413347955,0.06139241070429552,0.17142437569377508,0.10967645765661962,0.10949684302754054
1.1394302848575713,0.11857505848297005,0.06537950458880538,0.15845360858717603,0.1325719100963222,0.09400763550181673
1.1594202898550725,0.1293961657798883,0.07252668607880637,0.14569082749079704,0.15330347407492345,0.08562771874260879
1.1794102948525738,0.13527385868377506,0.08508381381070058,0.13517630008183548,0.16685522801009403,0.0847193047692923
1.199400299850075,0.1386768396759333,0.1032792630026238,0.12672805320212627,0.17024778942785956,0.09064728481695251
1.2193903048475763,0.14319695076110991,0.12539592968833174,0.11888502674625005,0.16226978529442324,0.10187654351364887
1.2393803098450775,0.1520436374430909,0.1487458879608534,0.11074393861987478,0.14333134689539018,0.11691469181864055
1.2593703148425788,0.1664145086344658,0.17038919140734787,0.10298512347964775,0.11522274707819105,0.13566667095977453
1.27936031984008,0.18525977026320933,0.18753098261692097,0.09734741914357557,0.08070469490474495,0.1598298211047454
1.2993503248375813,0.20646978978338607,0.19782766433333918,0.09506981326695842,0.04297649377415443,0.19153950655950777
1.3193403298350825,0.2280554832590185,0.1996814888011266,0.09598407243488306,0.006067460595479124,0.23111436274642547
1.3393303348325838,0.2485860273654539,0.19249817386244283,0.09955750603359868,0.0317884359488336,0.2758970172163308
1.359320339830085,0.2671066062434038,0.17685068181603203,0.1064801689488572,0.06503048134911502,0.32088231629678116
1.3793103448275863,0.28292711202909593,0.15449231677869651,0.11838652957828708,0.09584221153685321,0.36020532810380734
1.3993003498250876,0.2955020074887995,0.12817130484565417,0.1356507908856104,0.1257532884762933,0.3886068608653839
1.4192903548225888,0.3044324680436247,0.10119745141936674,0.15590716268276766,0.15709388886297274,0.4025443368932435
1.43928035982009,0.30949673645669606,0.07667919408565513,0.17481775656264723,0.19219478775380266,0.4008404411404896
1.4592703648175913,0.31058810075268806,0.05636514394547076,0.18772876494528584,0.2326018043518039,0.3848117247855461
1.4792603698150926,0.30751508700041863,0.039526031017871756,0.19092609550756504,0.27854196633949274,0.35786825752401596
1.4992503748125938,0.29975040256506374,0.023331163252241542,0.18232340451460974,0.3287327827063346,0.32465894282241675
1.519240379810095,0.2863125970948392,0.006307979450127855,0.16171684197381297,0.38046246079974,0.2899649407970041
1.5392303848075963,0.2659370826977008,0.018835664094672144,0.13069164517738677,0.4298595815407203,0.2577264954527649
1.5592203898050976,0.23754566270033287,0.04316732299552354,0.09223901139477518,0.4723250849733762,0.23073188816377588
1.5792103948025988,0.20088649027228284,0.06804848004379088,0.05015583200073339,0.5031123430608827,0.2112647882389546
1.5992003998001,0.15727076509870153,0.09084843094926108,0.008322629393091708,0.5180090990041852,0.2020834932210518
1.6191904047976013,0.11093415523115124,0.10966227852612472,0.03003466559955132,0.5140346121104592,0.20609678573848147
1.6391804097951026,0.07436047447490265,0.12366011993754183,0.06295442368652095,0.4900422050140965,0.2241452313942248
1.6591704147926039,0.07613493940792589,0.1331403243391132,0.09010955920974326,0.4471226320064352,0.253531858516957
1.679160419790105,0.11417664800891096,0.13912465616643574,0.11271802196441802,0.38874249893622703,0.2892862181007131
1.6991504247876064,0.16067884578974068,0.14261886386755246,0.13287720619926463,0.32063178425921424,0.3261850251059936
1.7191404297851076,0.20446172043328426,0.14392574543689618,0.15244354824776551,0.2505709270808953,0.35978816863312024
1.7391304347826089,0.24143016449418556,0.14245076785057614,0.17205036978430197,0.18838332505672628,0.386687312148541
1.7591204397801101,0.26949950959321234,0.1370894346969339,0.19090446182548687,0.14581028059076487,0.40450637022037056
1.7791104447776114,0.2874553369097444,0.12686989345324026,0.20737692781060163,0.13155085078113,0.4118998920326819
1.7991004497751126,0.29484184188370066,0.11150332622638834,0.21987843620452316,0.13997835726196178,0.4085932620466597
1.8190904547726139,0.29225763458016096,0.09181865775958652,0.22758620535928428,0.1572299720866161,0.3954214851189895
1.8390804597701151,0.2817457135584269,0.07053887795533614,0.23087143592490464,0.17565939141396963,0.3743038365111783
1.8590704647676164,0.26691565743566514,0.05453435553854826,0.23138680738163386,0.19380250480940533,0.3481137510355782
1.8790604697651176,0.25233069759823035,0.055401290738482614,0.23172198752278278,0.2119283221365362,0.3204278710081486
1.899050474762619,0.24179484774818172,0.07344399743002146,0.23452180036953696,0.22954428139242286,0.2951148599437567
1.91904047976012,0.23610728754733168,0.09716603019598452,0.24126427666064387,0.24509688619875317,0.2756557089994703
1.9390304847576212,0.23219848785787964,0.11896384648137809,0.2514297637085375,0.25684312585219476,0.26415059256188445
1.9590204897551224,0.22472628923265126,0.13507252517533264,0.26273174643837066,0.2637911230208748,0.26040556119600966
1.9790104947526237,0.20862117829841417,0.14375290445357658,0.27218196836122965,0.2662031055781487,0.2618828870787078
1.999000499750125,0.18078222075781708,0.14474498418261003,0.27721195396853976,0.2656947887391789,0.26470436351489773
2.0189905047476264,0.14063351536358037,0.13895317489961823,0.2763737791020547,0.2651013678619684,0.2649243726383344
2.0389805097451275,0.08996706863210094,0.1280000032555549,0.26956889804095346,0.2680709344861715,0.2593380390635339
2.058970514742629,0.03241715206416555,0.113698281185842,0.25790992780915123,0.27808331271716014,0.24573638071759252
2.07896051974013,0.027357028517407036,0.0977222219592349,0.24334367590941217,0.2968905918965641,0.22283993867247492
2.0989505247376314,0.08432278877231493,0.08177960468014231,0.22818719831668596,0.3233188553701044,0.1901396479349776
