# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
0 6.36926 6.64289 6.35876 19.3709
5 6.05056 6.34667 6.08239 18.4796
10 5.20646 5.51571 5.29648 16.0186
15 3.96728 4.27696 4.11447 12.3587
20 2.51276 2.80224 2.69762 8.01262
25 1.03811 1.27586 1.22783 3.5418
30 -0.27936 -0.131346 -0.12296 -0.533666
35 -1.3074 -1.28464 -1.22108 -3.81313
40 -1.97939 -2.0996 -1.98752 -6.06652
45 -2.2962 -2.54777 -2.40276 -7.24673
50 -2.31085 -2.65313 -2.50118 -7.46517
55 -2.11104 -2.48279 -2.35421 -6.94804
60 -1.79788 -2.13107 -2.04995 -5.9789
65 -1.46095 -1.70021 -1.67657 -4.83774
70 -1.16315 -1.28263 -1.31193 -3.7577
75 -0.941261 -0.943481 -1.01356 -2.8983
80 -0.811003 -0.70944 -0.805632 -2.32607
85 -0.767113 -0.579125 -0.679929 -2.02617
90 -0.783272 -0.53866 -0.613753 -1.93568
95 -0.819539 -0.56239 -0.586298 -1.96823
100 -0.834501 -0.610645 -0.579762 -2.02491
105 -0.796675 -0.639916 -0.573962 -2.01055
110 -0.693804 -0.619842 -0.548246 -1.86189
115 -0.537041 -0.544919 -0.490976 -1.57293
120 -0.353723 -0.430451 -0.406314 -1.19049
125 -0.174097 -0.299248 -0.309239 -0.782584
130 -0.0256189 -0.170705 -0.215911 -0.412235
135 0.0699779 -0.0592784 -0.138893 -0.128193
140 0.102376 0.0209195 -0.0842528 0.0390423
145 0.0753235 0.0573933 -0.0496059 0.0831108
150 0.00408904 0.0474853 -0.0269262 0.0246481
155 -0.0872042 -0.000360165 -0.00979108 -0.0973554
160 -0.169779 -0.0728088 0.00247621 -0.240111
165 -0.217688 -0.156747 0.00926806 -0.365167
170 -0.213663 -0.239011 0.0135755 -0.439098
175 -0.154169 -0.305135 0.0190697 -0.440234
180 -0.053214 -0.3412 0.0237955 -0.370618
185 0.0615689 -0.338389 0.0214204 -0.2554
190 0.16203 -0.297543 0.00809586 -0.127417
195 0.228457 -0.22825 -0.015286 -0.0150793
200 0.24843 -0.145931 -0.0434671 0.0590311
205 0.217409 -0.0685953 -0.0693413 0.0794728
210 0.140111 -0.00982588 -0.086947 0.0433379
215 0.0320236 0.0285682 -0.0925102 -0.0319184
220 -0.0834463 0.0563703 -0.0861651 -0.113241
225 -0.18335 0.0842133 -0.0695523 -0.168689
230 -0.250656 0.113675 -0.0411243 -0.178105
235 -0.277802 0.142555 0.00280144 -0.132446
240 -0.265673 0.170889 0.0623097 -0.0324742
245 -0.221215 0.196661 0.131077 0.106524
250 -0.159533 0.214466 0.196986 0.251919
255 -0.102008 0.220878 0.245662 0.364532
260 -0.0661297 0.215542 0.265503 0.414915
265 -0.0563135 0.197549 0.250397 0.391632
270 -0.0640782 0.167168 0.200895 0.303985
275 -0.0790457 0.130822 0.125791 0.177567
280 -0.092952 0.0979369 0.0400815 0.0450663
285 -0.0937662 0.0726984 -0.0401674 -0.0612353
290 -0.0681434 0.0533151 -0.100609 -0.115437
295 -0.0131859 0.0374988 -0.133952 -0.109639
300 0.0577558 0.0255119 -0.14355 -0.0602819
305 0.122341 0.0172434 -0.138399 0.00118521
310 0.162758 0.00870856 -0.127869 0.0435969
315 0.171529 -0.00641209 -0.119907 0.0452092
320 0.149559 -0.0309803 -0.119815 -0.0012368
325 0.10479 -0.0606532 -0.12874 -0.0846039
330 0.0487425 -0.0876242 -0.142449 -0.181331
335 -0.0074026 -0.103107 -0.155939 -0.266449
340 -0.0522804 -0.100371 -0.164357 -0.317009
345 -0.074486 -0.080907 -0.161346 -0.316739
350 -0.0677429 -0.0550667 -0.14523 -0.268039
355 -0.03498 -0.0368664 -0.122113 -0.19396
360 0.0117031 -0.0379303 -0.100341 -0.126568
365 0.0558091 -0.0599962 -0.0850352 -0.0892223
370 0.0861838 -0.0926928 -0.0760984 -0.0826074
375 0.101047 -0.120562 -0.0673407 -0.0868552
380 0.10419 -0.134157 -0.0499899 -0.0799565
385 0.100394 -0.134401 -0.0208037 -0.0548103
390 0.0929596 -0.125599 0.0140831 -0.0185559
395 0.085217 -0.10852 0.0458502 0.0225472
400 0.0824856 -0.0820585 0.0694199 0.0698471
405 0.0875417 -0.0485607 0.0834762 0.122457
410 0.0948442 -0.0143954 0.0886154 0.169064
415 0.0949483 0.0153818 0.0876844 0.198015
420 0.0826189 0.041648 0.087012 0.211279
425 0.057295 0.0649116 0.0919016 0.214108
430 0.0205623 0.0783852 0.10023 0.199178
435 -0.0227364 0.0699886 0.10427 0.151522
440 -0.0655958 0.0310953 0.0961265 0.0616259
445 -0.105593 -0.0343409 0.0721717 -0.0677624
450 -0.145835 -0.110395 0.0340548 -0.222174
455 -0.187148 -0.180638 -0.0154655 -0.383251
460 -0.220742 -0.235585 -0.0765676 -0.532895
465 -0.231666 -0.27136 -0.148127 -0.651152
470 -0.211519 -0.284066 -0.219903 -0.715487
475 -0.165962 -0.271025 -0.272608 -0.709596
480 -0.107263 -0.233918 -0.287964 -0.629146
485 -0.0442644 -0.175089 -0.26011 -0.479463
490 0.0181518 -0.0959961 -0.197276 -0.275121
495 0.073643 -0.00272554 -0.114224 -0.0433061
500 0.114471 0.0903789 -0.0247989 0.180051
505 0.139773 0.165947 0.0599279 0.365648
510 0.157667 0.21119 0.129895 0.498752
515 0.177636 0.222041 0.176117 0.575794
520 0.20007 0.203052 0.19287 0.595991
525 0.211744 0.162824 0.177455 0.552024
530 0.198979 0.110522 0.131491 0.440992
535 0.162631 0.0557266 0.0615452 0.279902
540 0.116192 0.00933431 -0.0208446 0.104681
545 0.0730663 -0.0189445 -0.101421 -0.0472991
550 0.039154 -0.0242169 -0.165925 -0.150988
555 0.0162821 -0.00474104 -0.203783 -0.192242
560 0.00897256 0.0377099 -0.212402 -0.165719
565 0.0222964 0.0947182 -0.197157 -0.0801424
570 0.0507969 0.152917 -0.16404 0.0396736
575 0.0775143 0.200042 -0.116419 0.161137
580 0.0853627 0.228348 -0.061046 0.252665
585 0.0672646 0.233583 -0.0113411 0.289507
590 0.0279487 0.213067 0.0202306 0.261246
595 -0.0181631 0.166222 0.0292468 0.177306
600 -0.0551966 0.0967251 0.0165534 0.0580818
605 -0.0755472 0.0148329 -0.0149397 -0.0756541
610 -0.0837069 -0.0622141 -0.0560775 -0.201998
615 -0.0888879 -0.117643 -0.0910781 -0.297609
620 -0.0951582 -0.14569 -0.104908 -0.345756
625 -0.0987077 -0.15044 -0.0904912 -0.339639
630 -0.0903968 -0.135154 -0.0516523 -0.277203
635 -0.0623002 -0.100721 0.000294863 -0.162726
640 -0.0170016 -0.051586 0.0517883 -0.0167993
645 0.0341249 0.000524998 0.0900234 0.124673
650 0.0795287 0.0406138 0.105889 0.226031
655 0.110339 0.0593286 0.0973195 0.266987
660 0.11693 0.056411 0.0691887 0.24253
665 0.0902799 0.0350686 0.0285978 0.153946
670 0.0298414 -0.00328056 -0.0187359 0.00782501
675 -0.0527419 -0.0566079 -0.0647561 -0.174106
680 -0.141119 -0.118612 -0.0941209 -0.353852
685 -0.220686 -0.17686 -0.0924322 -0.489978
690 -0.27772 -0.215017 -0.0583388 -0.551076
695 -0.298869 -0.222275 -0.00355716 -0.524701
700 -0.277261 -0.202328 0.0550047 -0.424584
705 -0.218114 -0.170385 0.102262 -0.286236
710 -0.134556 -0.141514 0.12813 -0.14794
715 -0.0398646 -0.122121 0.12867 -0.0333157
720 0.0564103 -0.109261 0.104712 0.0518619
725 0.14956 -0.0959134 0.0600595 0.113707
730 0.231575 -0.0811371 0.00260164 0.15304
735 0.283937 -0.0687275 -0.0552507 0.159959
740 0.288958 -0.0562988 -0.100475 0.132184
745 0.245674 -0.0359375 -0.12524 0.0844969
750 0.169586 -0.00393707 -0.127946 0.0377029
