Step Temp PotEng KinEng Press Lx Ly Lz Volume
0 769.369607666438 -329446.178786245 5872.75158352127 6.21425402799519 100.171277560035 100.171277560035 100.171277560035 1005147.13262641
1000 772.171511792786 -329433.108059248 5894.13907625677 -304.406190731486 100.180295402289 100.180295402289 100.180295402289 1005418.61985906
2000 776.3655318543 -329457.43315385 5926.15286743353 -121.463781945982 100.176778298232 100.176778298232 100.176778298232 1005312.7296414
3000 768.92771854001 -329456.99533355 5869.37855573188 178.623114797503 100.178470190108 100.178470190108 100.178470190108 1005363.66687044
4000 770.099009344414 -329449.788247206 5878.31925193015 -593.621803848407 100.189822618077 100.189822618077 100.189822618077 1005705.49517001
5000 770.959658434948 -329466.955432907 5884.8887580023 -506.156497851557 100.182666388225 100.182666388225 100.182666388225 1005490.00784461
6000 764.626384658191 -329442.208821715 5836.54561677251 -422.531340534632 100.18833228756 100.18833228756 100.18833228756 1005660.61602194
7000 768.61493132929 -329465.875037828 5866.99098860061 -742.464201889513 100.192695315006 100.192695315006 100.192695315006 1005792.00605056
8000 766.845100129459 -329484.800797406 5853.4815142494 -458.767925925601 100.180887671806 100.180887671806 100.180887671806 1005436.45217784
9000 774.289693487044 -329484.673992407 5910.30757937307 95.6994746115824 100.169867283685 100.169867283685 100.169867283685 1005104.67988027
10000 768.767088210879 -329514.152630421 5868.15243240914 -99.5242259133128 100.16917503374 100.16917503374 100.16917503374 1005083.84191162
11000 768.784280021045 -329490.789257095 5868.2836609232 -210.386459037427 100.183249780419 100.183249780419 100.183249780419 1005507.57371078
12000 766.435700722878 -329546.646755393 5850.35648696819 -228.262516199536 100.169948647967 100.169948647967 100.169948647967 1005107.12911043
13000 767.457252310554 -329502.475138465 5858.15419387576 86.9377249140834 100.168710212667 100.168710212667 100.168710212667 1005069.8501228
14000 766.61733323235 -329538.341876705 5851.7429241201 386.842753561549 100.154797396967 100.154797396967 100.154797396967 1004651.11428852
