Step Temp PotEng KinEng Press Lx Ly Lz Volume
0 769.369607666438 -329446.178786245 5872.75158352127 6.21425402799519 100.171277560035 100.171277560035 100.171277560035 1005147.13262641
1000 772.380928011138 -329431.517226613 5895.73759199705 -303.516782356338 100.180542358882 100.180542358882 100.180542358882 1005426.05531435
2000 775.547342272717 -329464.339687015 5919.9074632572 -247.200603756011 100.17917825946 100.17917825946 100.17917825946 1005384.9849909
3000 773.155893401477 -329401.99751999 5901.65305730519 -35.2942118945256 100.190444446022 100.190444446022 100.190444446022 1005724.221014
4000 771.678964064316 -329466.557865566 5890.37936125958 -527.114540048815 100.188051738255 100.188051738255 100.188051738255 1005652.1678347
5000 770.308818493764 -329463.120624671 5879.92076699106 191.728949561933 100.164536993877 100.164536993877 100.164536993877 1004944.23599744
6000 770.036640761856 -329422.396119418 5877.84318010677 837.95611654844 100.157828130741 100.157828130741 100.157828130741 1004742.32076933
7000 773.680926527157 -329492.298901996 5905.66073981501 205.483813089585 100.163278585444 100.163278585444 100.163278585444 1004906.35988525
8000 771.034376090607 -329484.349272597 5885.45909276236 -354.819431144772 100.183025558267 100.183025558267 100.183025558267 1005500.82238556
9000 772.773076782308 -329441.219769095 5898.73094173938 -160.444002090276 100.187581934319 100.187581934319 100.187581934319 1005638.02072463
10000 771.46405882972 -329481.669957086 5888.73894676412 369.09802746857 100.166354343512 100.166354343512 100.166354343512 1004998.93703928
11000 769.119581788194 -329499.833784035 5870.84308615181 -376.037236022301 100.184372583119 100.184372583119 100.184372583119 1005541.38173582
12000 774.039979805553 -329477.57279976 5908.40146506366 259.816731470276 100.168711533693 100.168711533693 100.168711533693 1005069.8898874
13000 769.028125948393 -329493.500578011 5870.14498549555 391.664292865188 100.154695561548 100.154695561548 100.154695561548 1004648.04976346
14000 766.570903912272 -329496.860882462 5851.3885198646 285.772175155349 100.163579921201 100.163579921201 100.163579921201 1004915.42953035
15000 770.68871890553 -329530.409891784 5882.82062256444 153.715757736978 100.15505266936 100.15505266936 100.15505266936 1004658.79620754
16000 769.522238555527 -329519.824553269 5873.91664552354 -197.551481740305 100.166955275243 100.166955275243 100.166955275243 1005017.02513019
17000 770.866669429189 -329509.085826295 5884.17895438466 -1060.25403185073 100.201513732128 100.201513732128 100.201513732128 1006057.60248215
18000 763.964893495049 -329524.164929519 5831.49632286083 -121.334248021925 100.173861008159 100.173861008159 100.173861008159 1005224.90379522
19000 763.472026086201 -329487.024845889 5827.73416767957 219.387145332922 100.164334054736 100.164334054736 100.164334054736 1004938.12778449
20000 771.066809667271 -329553.708203069 5885.70666471843 178.537257855833 100.163079483042 100.163079483042 100.163079483042 1004900.36730368
21000 767.395973842551 -329613.624857889 5857.68644311407 499.11288799377 100.143877646144 100.143877646144 100.143877646144 1004322.54259583
22000 766.153391280207 -329561.032369852 5848.20156271596 -17.987540631944 100.162153041152 100.162153041152 100.162153041152 1004872.48358076
23000 766.07894631268 -329565.399224909 5847.63330943877 -448.878671443639 100.17219399485 100.17219399485 100.17219399485 1005174.72018274
24000 764.596675363866 -329558.650264643 5836.3188398066 -425.718880590195 100.176077734699 100.176077734699 100.176077734699 1005291.63851057
25000 767.125719371772 -329582.955621811 5855.62353686537 277.962422025288 100.161681417196 100.161681417196 100.161681417196 1004858.28900657
26000 767.649656064794 -329553.395871064 5859.62285008616 111.748458412837 100.167582466094 100.167582466094 100.167582466094 1005035.90385408
27000 762.451639059529 -329580.577626433 5819.9453500983 -266.505435050184 100.17352289209 100.17352289209 100.17352289209 1005214.72504574
28000 767.95100933611 -329579.997821996 5861.92313967868 115.855242431143 100.160397765426 100.160397765426 100.160397765426 1004819.65532236
29000 765.557132730838 -329593.561412734 5843.65020234885 55.1009965046404 100.172788867931 100.172788867931 100.172788867931 1005192.62799459
30000 768.110632483401 -329599.404169913 5863.14157498165 471.784411412677 100.150183783994 100.150183783994 100.150183783994 1004512.28345792
31000 762.478486644795 -329571.372539512 5820.15028306851 487.580565315664 100.152322606808 100.152322606808 100.152322606808 1004576.64239143
32000 767.446338979058 -329587.111370382 5858.07089024095 79.7674780732155 100.165019210347 100.165019210347 100.165019210347 1004958.75020605
33000 764.037541093893 -329603.698791364 5832.05085646457 -126.803437140532 100.174798497173 100.174798497173 100.174798497173 1005253.12661045
34000 761.025055848454 -329635.101721569 5809.05595606924 -78.14000232564 100.16744300876 100.16744300876 100.16744300876 1005031.70610578
35000 768.087257916397 -329616.019941689 5862.96315225216 666.30655686992 100.1433288377 100.1433288377 100.1433288377 1004306.03102213
36000 764.180667209302 -329633.294962381 5833.14336663463 -138.158915263809 100.163756797615 100.163756797615 100.163756797615 1004920.75320643
37000 764.475961379475 -329641.496145448 5835.3974059003 -46.1650831923484 100.160870030513 100.160870030513 100.160870030513 1004833.86882859
38000 758.313302270483 -329640.06439167 5788.35660044034 -194.387640874635 100.172356420643 100.172356420643 100.172356420643 1005179.60976014
39000 762.375942892355 -329617.279752324 5819.36754616478 -226.337608061455 100.173542036102 100.173542036102 100.173542036102 1005215.30136108
40000 767.174161920916 -329642.316205552 5855.99330849965 -62.0726945673082 100.168092319838 100.168092319838 100.168092319838 1005051.25085298
41000 760.702267572097 -329672.794346306 5806.59204881032 472.277983704905 100.14237854627 100.14237854627 100.14237854627 1004277.44076948
42000 762.804926649822 -329626.6780793 5822.6420647003 -52.1845715846278 100.163520502553 100.163520502553 100.163520502553 1004913.6411354
43000 762.079022600563 -329667.276245776 5817.10109438864 -336.381663691005 100.166186380645 100.166186380645 100.166186380645 1004993.881383
44000 762.616848751465 -329647.201112008 5821.20642861019 -302.510502774639 100.16809385968 100.16809385968 100.16809385968 1005051.29720368
45000 759.241348059574 -329629.880105143 5795.44055894762 -335.795692135693 100.173128532321 100.173128532321 100.173128532321 1005202.8532055
46000 762.506500618065 -329721.409635944 5820.36411931086 35.8136048890262 100.144035394449 100.144035394449 100.144035394449 1004327.28868011
47000 756.705400384675 -329653.957249125 5776.08316482249 -365.24435492556 100.16940061989 100.16940061989 100.16940061989 1005090.63242892
48000 760.380458662737 -329625.122994544 5804.13561725493 -242.59738156374 100.16290850444 100.16290850444 100.16290850444 1004895.2212109
49000 760.695796616145 -329691.5364095 5806.5426547136 289.303300835822 100.143888385296 100.143888385296 100.143888385296 1004322.86569816
50000 763.493771498751 -329685.628579336 5827.90015474836 253.96626508079 100.143528156 100.143528156 100.143528156 1004312.0277362
51000 761.568558414992 -329681.107304867 5813.20461950288 -155.709522132043 100.159976364532 100.159976364532 100.159976364532 1004806.9727613
52000 754.46587023261 -329631.166264449 5758.98838473783 -161.234784832918 100.160153951233 100.160153951233 100.160153951233 1004812.31743124
53000 758.193878735824 -329662.338989652 5787.44501679408 16.543932261019 100.160765031655 100.160765031655 100.160765031655 1004830.70872332
54000 758.475227176234 -329718.766563184 5789.59260552448 -116.774679477743 100.147385032016 100.147385032016 100.147385032016 1004428.07086632
55000 758.120421844169 -329675.580781538 5786.88430569699 -92.9722154895054 100.149349075099 100.149349075099 100.149349075099 1004487.16712808
56000 753.680017990234 -329672.286294832 5752.98981791787 249.253024110015 100.146261215478 100.146261215478 100.146261215478 1004394.25729617
57000 762.440335946102 -329677.779343764 5819.85907118032 -4.19445481004419 100.149563483592 100.149563483592 100.149563483592 1004493.61862405
58000 755.407738207466 -329715.417977442 5766.17785074439 279.789175945571 100.143901877685 100.143901877685 100.143901877685 1004323.27163555
59000 753.699844648923 -329703.261808887 5753.14115875595 -294.334675194918 100.159583360401 100.159583360401 100.159583360401 1004795.1449308
60000 761.317520079587 -329685.056173089 5811.28839384608 -485.634943332611 100.175029805834 100.175029805834 100.175029805834 1005260.09016701
61000 760.143226147849 -329721.384178507 5802.32477417822 -242.816290493736 100.156920065162 100.156920065162 100.156920065162 1004714.99299089
62000 761.880745215205 -329693.442033185 5815.58760358106 -177.88531779002 100.162308869429 100.162308869429 100.162308869429 1004877.17360949
63000 758.604442478184 -329709.438083112 5790.57893168239 -39.9124355021241 100.152724686947 100.152724686947 100.152724686947 1004588.74161967
64000 759.547518115447 -329755.07887639 5797.77761601686 412.661214850793 100.131251972599 100.131251972599 100.131251972599 1003942.72956315
65000 756.859832029042 -329724.784421104 5777.26197234876 111.287171908033 100.142518686749 100.142518686749 100.142518686749 1004281.65697008
66000 753.025805589667 -329740.47588498 5747.99608425189 520.395175936836 100.139146583197 100.139146583197 100.139146583197 1004180.20872151
67000 759.241455243991 -329718.400290589 5795.44137710764 -459.703494814805 100.164259660927 100.164259660927 100.164259660927 1004935.88863059
68000 752.394137879261 -329717.593705316 5743.17443870003 323.886285227857 100.142557298257 100.142557298257 100.142557298257 1004282.81861984
69000 759.860364359327 -329737.860794397 5800.16563376 191.229331955593 100.140332150151 100.140332150151 100.140332150151 1004215.87520181
70000 757.508662982848 -329753.650890244 5782.21462835887 -125.076902990344 100.155360332803 100.155360332803 100.155360332803 1004668.0547839
71000 753.288044842767 -329738.272086593 5749.99780874628 417.324908447208 100.139339825354 100.139339825354 100.139339825354 1004186.02214207
72000 755.489415992053 -329752.977948842 5766.80131355601 646.387853397937 100.126772032114 100.126772032114 100.126772032114 1003807.98434524
73000 756.536081936648 -329743.476852155 5774.79072335631 115.144731797601 100.15089196077 100.15089196077 100.15089196077 1004533.59277381
74000 755.624875328488 -329763.903661494 5767.83530167385 -554.132090799002 100.153283566018 100.153283566018 100.153283566018 1004605.55933756
75000 758.21984502353 -329807.886797576 5787.64322264433 -151.102436107567 100.143702060099 100.143702060099 100.143702060099 1004317.25985509
76000 756.645521450712 -329767.263722497 5775.62609698313 -453.290168076824 100.163215203517 100.163215203517 100.163215203517 1004904.45221424
77000 754.015103362468 -329759.058067949 5755.54759136095 -58.9506714283319 100.149182054944 100.149182054944 100.149182054944 1004482.14155406
78000 746.602820511706 -329802.653225879 5698.96815877672 -334.256725804125 100.145210043961 100.145210043961 100.145210043961 1004362.63016777
79000 752.943913502137 -329753.207922431 5747.37098562318 -382.257330113895 100.160592836474 100.160592836474 100.160592836474 1004825.52625365
80000 749.432425945911 -329805.104551249 5720.56710111715 282.417280401451 100.134576967719 100.134576967719 100.134576967719 1004042.74475696
81000 754.734606236661 -329791.828264407 5761.0397002273 100.882140278416 100.144408889192 100.144408889192 100.144408889192 1004338.52586544
82000 748.142521834362 -329816.691033992 5710.72100590075 78.8210885354509 100.136476980498 100.136476980498 100.136476980498 1004099.89974682
83000 753.763846225252 -329817.935999765 5753.62969554631 -174.506565422148 100.149007031155 100.149007031155 100.149007031155 1004476.87517166
84000 753.972408579477 -329787.814661724 5755.22169357149 -571.908550754329 100.157649850099 100.157649850099 100.157649850099 1004736.95546369
85000 749.537363295288 -329817.624310449 5721.36810882344 -710.310556163988 100.160514944981 100.160514944981 100.160514944981 1004823.18199936
86000 752.353930680942 -329832.695596525 5742.86752914024 -134.461158873165 100.137594366525 100.137594366525 100.137594366525 1004133.51326362
87000 754.811625204678 -329804.845865275 5761.62760136335 -45.1939327221618 100.148626694064 100.148626694064 100.148626694064 1004465.43107333
88000 751.161025487662 -329829.887923944 5733.76184600301 -98.2752638252211 100.134344772428 100.134344772428 100.134344772428 1004035.76015293
89000 750.118143683506 -329830.668765809 5725.80132130103 537.623535611763 100.1197035378 100.1197035378 100.1197035378 1003595.4065303
