Step Temp PotEng KinEng Press Lx Ly Lz Volume
0 769.369607666438 -329446.178786245 5872.75158352127 6.21425402799519 100.171277560035 100.171277560035 100.171277560035 1005147.13262641
1000 770.867763215924 -329442.742365097 5884.18730347685 -311.009039756051 100.178972160189 100.178972160189 100.178972160189 1005378.77984856
2000 773.823870376614 -329482.559986672 5906.75185871273 4.39976425392142 100.169187928912 100.169187928912 100.169187928912 1005084.23007687
3000 764.516382007717 -329495.682361446 5835.70594461322 353.386027099897 100.163764144382 100.163764144382 100.163764144382 1004920.97433191
4000 764.71978638264 -329513.601793408 5837.25857075418 -478.459426910496 100.17839336056 100.17839336056 100.17839336056 1005361.35375136
5000 758.832844398826 -329561.644942875 5792.32236907291 -1096.61104304226 100.183716988198 100.183716988198 100.183716988198 1005521.64142627
6000 761.989572421391 -329521.566407363 5816.41830333979 -118.463498595757 100.166424496785 100.166424496785 100.166424496785 1005001.04864696
7000 762.440995008663 -329594.58518171 5819.86410193622 413.039685427233 100.141416216743 100.141416216743 100.141416216743 1004248.48889432
8000 757.908626765158 -329566.126139293 5785.26763163909 -840.857165787644 100.17551099963 100.17551099963 100.17551099963 1005274.57662867
9000 757.955368869661 -329647.827663567 5785.62442344046 -365.732981736182 100.161733997913 100.161733997913 100.161733997913 1004859.87153383
10000 750.058286388859 -329610.88531853 5725.34441863887 -41.7821670721872 100.154052272534 100.154052272534 100.154052272534 1004628.69146282
11000 754.580877196973 -329677.072250124 5759.86625582261 179.368055377411 100.137208721716 100.137208721716 100.137208721716 1004121.9121046
12000 752.62077146695 -329638.295958255 5744.9043780526 396.394248906823 100.131309195992 100.131309195992 100.131309195992 1003944.45077529
13000 748.655403605165 -329685.592791961 5714.63593469652 -17.1103294155233 100.141659154446 100.141659154446 100.141659154446 1004255.79767091
14000 742.504343555753 -329708.459109294 5667.68366717053 -279.213225778772 100.143192038063 100.143192038063 100.143192038063 1004301.91526582
15000 739.813495701027 -329749.829739359 5647.14388909457 -479.672132605485 100.13514569152 100.13514569152 100.13514569152 1004059.85252133
16000 740.659728468317 -329801.743946 5653.60335249761 -429.328279970767 100.129941306179 100.129941306179 100.129941306179 1003903.30680232
17000 738.551380499248 -329757.826504442 5637.50991216596 782.355885251445 100.101009834771 100.101009834771 100.101009834771 1003033.35696976
18000 739.071279549569 -329811.053031037 5641.47840525514 296.398342934172 100.106646672349 100.106646672349 100.106646672349 1003202.81343725
19000 737.649197123843 -329833.895582479 5630.62336661784 162.095173319493 100.114323193465 100.114323193465 100.114323193465 1003433.6182359
20000 734.729273986758 -329837.497158845 5608.33501124715 -314.733646417197 100.124956289306 100.124956289306 100.124956289306 1003753.37485251
21000 731.45953053601 -329869.647805713 5583.37640768815 -123.549529219817 100.115772344548 100.115772344548 100.115772344548 1003477.19285889
22000 728.780956969791 -329845.221208989 5562.93032170315 -446.083267511685 100.120477896953 100.120477896953 100.120477896953 1003618.69313441
23000 727.79154902447 -329919.124851835 5555.37797362528 -59.0650934567927 100.102857340696 100.102857340696 100.102857340696 1003088.89519884
24000 730.121344157045 -329857.149979085 5573.16176429984 645.953653528143 100.091891114787 100.091891114787 100.091891114787 1002759.26741264
25000 722.471605426226 -329956.767347063 5514.76978364804 443.761914406315 100.083262257422 100.083262257422 100.083262257422 1002499.94808093
26000 724.428494853352 -329957.406413102 5529.70711073689 -187.355835649699 100.098485449311 100.098485449311 100.098485449311 1002957.47424969
27000 715.979410111691 -329954.791210801 5465.21356264056 130.203245295828 100.092870299853 100.092870299853 100.092870299853 1002788.69726437
28000 712.111635566537 -330008.92697143 5435.69006852483 -162.411138989683 100.089100961905 100.089100961905 100.089100961905 1002675.41125895
