cooling_rate_K_per_ps,tag,frame_index,step,strain,strain_from_cell,szz_raw_GPa,compressive_stress_GPa,temperature_K,lx_A,ly_A,lz_A,cell_volume_A3,ti_matrix_volume_A3,ti_atom_count,total_line_length_A,total_dislocation_density_m-2,delta_total_dislocation_density_m-2,dislocation_segment_count,hcp_atom_count,fcc_atom_count,other_structure_atom_count,hcp_identified_fraction,other_structure_fraction,a_type_line_length_A,ca_type_line_length_A,c_type_line_length_A,hcp_partial_line_length_A,other_recognized_line_length_A,unclassified_line_length_A,a_type_density_m-2,ca_type_density_m-2,c_type_density_m-2,hcp_partial_density_m-2,other_recognized_density_m-2,unclassified_density_m-2,a_type_line_fraction,ca_type_line_fraction,unclassified_line_fraction,dxa_quality_flag,line_length_balance_error_A
0.25,R0p25,0,0,1.42713131890567e-16,0.0,-0.200335786867048,0.200335786867048,372.136150688141,99.57636362503038,99.57636362503038,99.57636362503038,987344.6730552916,923518.093747624,52800,1048.4380089631115,1.135265260162434e+17,0.0,29,38734,970,13096,0.7335984848484849,0.248030303030303,5.017425688279119,0.0,0.0,619.079870617685,0.0,424.3407126571478,543294790026091.8,0.0,0.0,6.703494764303612e+16,0.0,4.594828358318123e+16,0.0047856197938123,0.0,0.4047361017336771,ACCEPTABLE,-2.273736754432321e-13
0.25,R0p25,1,5000,0.0100000000000001,0.0099999999999999,-1.72772165240782,1.72772165240782,373.133512924441,100.06769665089816,99.62210741103569,98.58059998878008,982745.547823849,919112.5621177384,52800,834.5437905214247,9.079886674582515e+16,-2.2727659270418256e+16,26,38671,794,13335,0.732405303030303,0.2525568181818182,0.0,0.0,0.0,425.13414730765805,0.0,409.4096432137665,0.0,0.0,0.0,4.625485112814706e+16,0.0,4.454401561767808e+16,0.0,0.0,0.4905789820303695,ACCEPTABLE,1.1368683772161605e-13
0.25,R0p25,2,10000,0.0200000000000001,0.0199999999999999,-2.72621785281316,2.72621785281316,373.121974833858,100.34451747448944,100.1678563909902,97.58483635252978,980853.998785093,917364.0283131596,52800,861.5600160060562,9.391691732128243e+16,-1.960960869496096e+16,18,38757,1183,12860,0.7340340909090909,0.243560606060606,6.8207590476369,0.0,0.0,572.387766861183,0.0,282.3514900972364,743517168443899.9,0.0,0.0,6.239483445995634e+16,0.0,3.077856569288221e+16,0.007916754400066,0.0,0.3277212090297974,ACCEPTABLE,0.0
0.25,R0p25,3,15000,0.0300000000000001,0.0299999999999999,-3.58452758830595,3.58452758830595,374.993718811212,100.55154761659804,100.89611166112408,96.58907271627947,979921.2728674696,916625.3889928216,52800,1194.4465231960348,1.3030912492053926e+17,1.6782598904295856e+16,48,37294,1610,13896,0.7063257575757576,0.2631818181818182,12.772928155319674,0.0,0.0,666.1174258887149,0.0,515.5561691519999,1393473092574321.5,0.0,0.0,7.26706279236535e+16,0.0,5.624502390431141e+16,0.0106935956589689,0.0,0.4316276695021078,ACCEPTABLE,2.273736754432321e-13
0.25,R0p25,4,20000,0.0400000000000001,0.0399999999999999,-4.18183987157035,4.18183987157035,374.273715443599,100.98721576243778,101.478439934016,95.59330908002916,979642.6316903922,916499.2509030034,52800,1974.1718589919767,2.154035431067593e+17,1.0187701709051586e+17,76,36084,2082,14634,0.6834090909090909,0.2771590909090909,28.65481073522985,0.0,0.0,921.7222850217022,0.0,1023.7947632350454,3126550371644821.0,0.0,0.0,1.0056988962222858e+17,0.0,1.1170710311288595e+17,0.014514851179097,0.0,0.5185945481756592,CAUTION,-6.821210263296962e-13
0.25,R0p25,5,25000,0.0500000000000001,0.0499999999999999,-4.59620607456351,4.59620607456351,372.904211154045,101.23709328957726,102.26903585525386,94.59754544377888,979408.1117130896,916263.1316089608,52800,2785.678718535534,3.040260622124862e+17,1.904995361962428e+17,92,35003,2540,15257,0.6629356060606061,0.2889583333333333,0.0,0.0,0.0,991.4665446230224,0.0,1794.2121739125105,0.0,0.0,0.0,1.0820762185225155e+17,0.0,1.9581844036023456e+17,0.0,0.0,0.644084388473826,CAUTION,9.094947017729282e-13
0.25,R0p25,6,30000,0.06,0.0599999999999999,-5.06290375848044,5.06290375848044,373.341748638555,101.63090691770188,102.92998558622509,93.60178180752855,979155.8638497908,916014.4696421212,52800,3520.758939374793,3.843562581222459e+17,2.708297321060025e+17,139,32995,3457,16348,0.624905303030303,0.3096212121212121,0.0,0.0,0.0,1032.337153100187,0.0,2488.421786274608,0.0,0.0,0.0,1.1269878231328723e+17,0.0,2.716574758089588e+17,0.0,0.0,0.7067856189883012,LOW_CONFIDENCE,-1.8189894035458565e-12
0.25,R0p25,7,35000,0.07,0.0699999999999999,-3.66621855980407,3.66621855980407,376.416712360975,101.30770500016295,104.76585796391444,92.60601817127828,982882.1817820304,919545.058459929,52800,6496.91265398005,7.065355410490921e+17,5.930090150328486e+17,313,26248,6790,19762,0.4971212121212121,0.374280303030303,54.31294163895048,0.0,0.0,1730.766644995517,0.0,4711.833067345581,5906501387753069.0,0.0,0.0,1.882198842865011e+17,0.0,5.124091553748379e+17,0.0083598078859314,0.0,0.7252418676829652,LOW_CONFIDENCE,9.094947017729282e-13
0.25,R0p25,8,40000,0.08,0.0799999999999998,-1.72478078591643,1.72478078591643,372.914342145607,101.2814188173491,106.36401790791489,91.61025453502796,986889.6648818008,923324.4248738564,52800,7395.121701294822,8.009234351517491e+17,6.873969091355057e+17,280,23499,9341,19960,0.4450568181818182,0.378030303030303,10.556557824850472,0.0,0.0,2208.084720317809,0.0,5176.480423152161,1143320542645961.0,0.0,0.0,2.3914505680053632e+17,0.0,5.606350578085667e+17,0.0014275029203376,0.0,0.6999858328559764,CAUTION,9.094947017729282e-13
0.25,R0p25,9,45000,0.09,0.0899999999999998,-1.90557947072732,1.90557947072732,373.938389355235,101.45946450613933,107.29334164542,90.61449089877766,986422.5507878328,922755.6066786344,52800,7105.232351229087,7.700015366802975e+17,6.56475010664054e+17,289,22648,10016,20136,0.4289393939393939,0.3813636363636363,32.61750380297907,0.0,0.0,2427.782942107949,0.0,4644.831905318154,3534793347978939.0,0.0,0.0,2.6310140242295667e+17,0.0,5.033653409093614e+17,0.0045906315501894,0.0,0.6537199173387589,CAUTION,4.547473508864641e-12
