cooling_rate_K_per_ps,tag,step,strain,compressive_stress_GPa,a_type_line_length_A,a_type_density_m-2,ca_type_line_length_A,ca_type_density_m-2,c_type_line_length_A,c_type_density_m-2,hcp_partial_line_length_A,hcp_partial_density_m-2,unclassified_line_length_A,unclassified_density_m-2,a_type_line_fraction,ca_type_line_fraction,unclassified_line_fraction,dxa_quality_flag
0.25,R0p25,75000,0.15,2.01073629916501,10.699230256847024,1159435092153205.0,0.0,0.0,0.0,0.0,2281.385072310429,2.472250664816221e+17,4699.3626774101085,5.092521488129914e+17,0.0015303313158904,0.0,0.672158809309215,CAUTION
0.25,R0p25,80000,0.16,2.01572467670813,42.770799396854045,4636316638857352.0,0.0,0.0,0.0,0.0,2402.1239893709267,2.603881053796249e+17,4785.381958604397,5.187311509449425e+17,0.0059155134569916,0.0,0.6618532216410149,CAUTION
0.25,R0p25,85000,0.17,1.88743821709311,44.13983089878598,4781628603901296.0,0.0,0.0,7.88231822706553,853884519540053.9,2451.922685893336,2.6561460274521635e+17,4711.64086014611,5.104078617755736e+17,0.0061172900944633,0.0,0.6529810689246025,CAUTION
0.25,R0p25,90000,0.18,1.81452344121475,117.06364604131952,1.2678403301900366e+16,0.0,0.0,0.0,0.0,2482.91640183896,2.6890855164639648e+17,4495.939810396216,4.869260446334734e+17,0.016497317948818,0.0,0.6335950659240139,CAUTION
0.25,R0p25,95000,0.19,1.93884718163217,14.623174601464855,1583945156576646.8,0.0,0.0,0.0,0.0,2060.606658082382,2.2319968301221165e+17,5579.315977046651,6.043373453236671e+17,0.0019103908925433,0.0,0.7288892268374946,LOW_CONFIDENCE
0.25,R0p25,100000,0.2,1.92420838115463,20.257306334647488,2193100869895114.5,0.0,0.0,0.0,0.0,3160.1508071533462,3.421249286394007e+17,5332.18494171172,5.772741568363658e+17,0.0023705674679097,0.0,0.6239874120914288,CAUTION
0.25,R0p25,105000,0.21,1.83544597580755,86.58162956225908,9371035036355810.0,0.0,0.0,33.52620333956686,3628659193866907.0,2920.753912294228,3.161234938989103e+17,4256.863042145748,4.6073529586586304e+17,0.0118549522935938,0.0,0.5828593032972685,CAUTION
0.25,R0p25,110000,0.22,1.78509743520419,160.8791420522913,1.7409575216417278e+16,0.0,0.0,24.129014099576672,2611127088979837.0,2771.014808076906,2.998660367752371e+17,5001.747412057412,5.412653043328048e+17,0.0202166102369206,0.0,0.6285362828465628,CAUTION
0.25,R0p25,115000,0.23,1.65925875811285,119.71668835926006,1.295308786731073e+16,0.0,0.0,0.0,0.0,2619.555713369264,2.83430286901712e+17,4339.891118047968,4.695668728986231e+17,0.0168600436788118,0.0,0.6111992806883932,CAUTION
0.25,R0p25,120000,0.24,1.66023362430523,243.81317138681823,2.63741253209233e+16,0.0,0.0,0.0,0.0,2508.006172361456,2.712998182963892e+17,3751.995627195985,4.058665178438064e+17,0.0374877164365917,0.0,0.5768915081314575,CAUTION
0.25,R0p25,125000,0.25,1.90052162967074,210.3477555230536,2.276928019341488e+16,0.0,0.0,0.0,0.0,2607.538864817192,2.8225536745380013e+17,4165.442704101696,4.508920564589175e+17,0.0301214142639424,0.0,0.5964837845356182,CAUTION
0.25,R0p25,130000,0.26,1.98285650907854,123.82077820530505,1.3405055442438188e+16,0.0,0.0,0.0,0.0,2207.322604236242,2.389686312589024e+17,3570.426107434195,3.86540616340865e+17,0.0209809913138737,0.0,0.6049960292019492,CAUTION
0.25,R0p25,135000,0.27,2.06519282682003,149.7460863033428,1.6214718602411356e+16,0.0,0.0,0.0,0.0,2705.720637929039,2.9297926806503085e+17,4051.8059465949855,4.38735294373754e+17,0.0216794809528499,0.0,0.5865999707391961,CAUTION
0.25,R0p25,140000,0.28,2.05217603146659,81.27095690270885,8800184987028107.0,0.0,0.0,0.0,0.0,2508.1108193741165,2.715833554769328e+17,5277.897619578677,5.715015199155302e+17,0.0103302492276456,0.0,0.670866935571029,CAUTION
0.25,R0p25,145000,0.29,2.46167558297963,89.13876746050562,9666472485113604.0,0.0,0.0,0.0,0.0,2921.6071128404315,3.1682774591983386e+17,3464.2263437742217,3.7567098568124256e+17,0.0137666640683138,0.0,0.5350179466243233,CAUTION
0.25,R0p25,150000,0.3,2.04045317618663,173.44330675642567,1.8793767467974668e+16,10.639048193888383,1152813571049530.2,0.0,0.0,1821.041835815561,1.973223265388616e+17,3416.1006246406937,3.70157845738384e+17,0.0319933802161307,0.0019624805382822,0.6301344697848511,LOW_CONFIDENCE
0.25,R0p25,155000,0.31,2.11250358418356,0.0,0.0,0.0,0.0,0.0,0.0,1570.3568170090512,1.7036762184049398e+17,3196.271252900945,3.467626759827868e+17,0.0,0.0,0.6705518462994531,LOW_CONFIDENCE
0.25,R0p25,160000,0.32,2.40806829971776,0.0,0.0,0.0,0.0,0.0,0.0,3004.286310933449,3.263625513969071e+17,2175.894634344705,2.363724528688268e+17,0.0,0.0,0.420042206504018,LOW_CONFIDENCE
0.25,R0p25,165000,0.33,2.38045826429158,29.66661138983193,3221404345424891.5,0.0,0.0,0.0,0.0,2615.652059146898,2.840254587466424e+17,2152.54429172082,2.3373803782138928e+17,0.0061832969434943,0.0,0.4486464721176571,LOW_CONFIDENCE
0.25,R0p25,170000,0.34,2.62142323873986,0.0,0.0,0.0,0.0,0.0,0.0,1298.3304714424346,1.4115662203125235e+17,3452.805282242656,3.753946632952056e+17,0.0,0.0,0.7267326090534417,LOW_CONFIDENCE
0.25,R0p25,175000,0.35,2.69973753649096,35.78768377206646,3889753693292395.0,0.0,0.0,0.0,0.0,2367.9024057878014,2.5736667360010067e+17,2770.967645915477,3.0117572579833645e+17,0.006915951856433,0.0,0.5354881013518732,LOW_CONFIDENCE
0.25,R0p25,180000,0.36,2.25286607745537,14.24181579725668,1545511938442696.0,0.0,0.0,0.0,0.0,1943.7225274559712,2.1093141590708304e+17,4111.103723677164,4.461341148888589e+17,0.0023466231784182,0.0,0.6773863265890958,LOW_CONFIDENCE
0.25,R0p25,185000,0.37,2.53100638294222,62.78846775603097,6821986964313067.0,0.0,0.0,0.0,0.0,1602.0762755748606,1.7406609618622426e+17,4736.577719666865,5.146306736545477e+17,0.0098084874024826,0.0,0.739923501155512,LOW_CONFIDENCE
0.25,R0p25,190000,0.38,2.54448508375729,9.600330703026042,1042594690209283.4,0.0,0.0,0.0,0.0,2395.8792874182463,2.601921851147599e+17,3943.5808846720006,4.282723812288973e+17,0.0015120868195857,0.0,0.6211282571550583,LOW_CONFIDENCE
0.25,R0p25,195000,0.39,2.31259666557007,20.912837975658807,2270462143788696.5,0.0,0.0,0.0,0.0,1857.9497088913968,2.0171363083341904e+17,3912.8940850552817,4.248145518610731e+17,0.0036107936339026,0.0,0.6755971173734476,LOW_CONFIDENCE
0.25,R0p25,200000,0.4,2.41288700966304,34.31647440175233,3727269414352361.5,0.0,0.0,0.0,0.0,1941.4276574259,2.1086734735581702e+17,4185.573447660831,4.546142972133218e+17,0.0055696649229694,0.0,0.67933090506403,LOW_CONFIDENCE
0.5,R0p5,0,-2.85370661570263e-16,0.0438071161988831,0.0,0.0,0.0,0.0,0.0,0.0,724.605880830387,7.839121071651318e+16,384.88963170699424,4.163913793684305e+16,0.0,0.0,0.3469050819563603,ACCEPTABLE
0.5,R0p5,5000,0.0099999999999995,1.30441877790902,6.766146903304858,734275339056417.6,0.0,0.0,0.0,0.0,608.7273434109322,6.606026781027394e+16,666.0008091419404,7.227569500533397e+16,0.0052798884132189,0.0,0.5197064157246493,CAUTION
0.5,R0p5,10000,0.0199999999999997,1.95049361604622,0.0,0.0,0.0,0.0,0.0,0.0,956.6006140989944,1.0392813851549757e+17,287.23888894340223,3.1206548058998268e+16,0.0,0.0,0.2309292221712077,ACCEPTABLE
0.5,R0p5,15000,0.0299999999999996,2.77628807004511,0.0,0.0,0.0,0.0,0.0,0.0,813.182076616284,8.852053544364918e+16,263.3797091425945,2.8670716618974948e+16,0.0,0.0,0.2446489487428125,ACCEPTABLE
0.5,R0p5,20000,0.0399999999999996,3.34534483938336,16.461509578881746,1793007739678615.8,0.0,0.0,0.0,0.0,692.8721220062856,7.546847823474093e+16,638.8234349184922,6.958142918838825e+16,0.0122103796270366,0.0,0.4738494132402772,ACCEPTABLE
0.5,R0p5,25000,0.0499999999999996,4.22491987769767,0.0,0.0,0.0,0.0,0.0,0.0,669.911288539216,7.309740272317253e+16,221.3421378034512,2.4151758096071684e+16,0.0,0.0,0.2483492699845735,ACCEPTABLE
0.5,R0p5,30000,0.0599999999999996,4.8377894669192,0.0,0.0,0.0,0.0,0.0,0.0,723.4801494768182,7.895247625256827e+16,520.5203475714216,5.680372904540632e+16,0.0,0.0,0.4184245495130509,ACCEPTABLE
0.5,R0p5,35000,0.0699999999999996,3.73837295446747,55.49567648707473,6030414287452080.0,0.0,0.0,0.0,0.0,1072.7970061296676,1.1657503435978346e+17,2786.085286670834,3.027487830103834e+17,0.0141773934255958,0.0,0.7117568381312723,LOW_CONFIDENCE
0.5,R0p5,40000,0.0799999999999997,3.47529077610051,57.18783376785087,6206597752747834.0,0.0,0.0,0.0,0.0,1041.4660792128946,1.1303035280276128e+17,2269.699560568938,2.463305787945273e+17,0.0169779787712078,0.0,0.6738305757967412,CAUTION
0.5,R0p5,45000,0.0899999999999997,3.21440042978957,50.37111142798553,5462713307466717.0,0.0,0.0,0.0,0.0,1169.5404516371343,1.2683587889286158e+17,3538.149699251316,3.837099658510055e+17,0.0105864781159758,0.0,0.7436116317528847,LOW_CONFIDENCE
0.5,R0p5,50000,0.0999999999999997,2.21330880415043,47.26303923813617,5116842853934006.0,0.0,0.0,0.0,0.0,1898.1606432153,2.0550074390937542e+17,3913.5722843175786,4.236954436101194e+17,0.0080667471877751,0.0,0.6679595457162282,CAUTION
0.5,R0p5,55000,0.11,2.16495151685004,47.58786272017296,5153701835603657.0,0.0,0.0,0.0,0.0,1865.6010716300689,2.0204209892553648e+17,4329.213593733036,4.688480374909588e+17,0.0076233249147399,0.0,0.6935172114032694,CAUTION
0.5,R0p5,60000,0.12,1.97631286189645,27.388664415337114,2965151938228391.5,0.0,0.0,0.0,0.0,2063.9824883420583,2.2345089862614182e+17,4349.369178148948,4.708714617510655e+17,0.0042524093517496,0.0,0.6752902546432743,CAUTION
0.5,R0p5,65000,0.13,1.94667161066491,0.0,0.0,0.0,0.0,0.0,0.0,2415.7832563524444,2.615410656188569e+17,4083.933297170464,4.421407688995361e+17,0.0,0.0,0.6283248297892213,CAUTION
0.5,R0p5,70000,0.14,2.06287116903144,0.0,0.0,0.0,0.0,0.0,0.0,2471.1490339028464,2.675716353305869e+17,4428.892279676274,4.795526023391521e+17,0.0,0.0,0.6418646031814791,CAUTION
0.5,R0p5,75000,0.15,2.08374808335274,14.301544274546796,1549024773448082.2,0.0,0.0,0.0,0.0,2950.0210724849844,3.1952183874338496e+17,4355.635183134805,4.7176631231256966e+17,0.0019537741426259,0.0,0.5950355592483982,CAUTION
0.5,R0p5,80000,0.16,2.02808416650759,48.35564800990995,5236078801020432.0,0.0,0.0,0.0,0.0,2666.7611499460986,2.887640244580323e+17,4685.310959334245,5.073379925615111e+17,0.0065341693204523,0.0,0.6331135324871843,CAUTION
0.5,R0p5,85000,0.17,2.24359760423819,81.92378540984492,8874450525702328.0,0.0,0.0,0.0,0.0,2765.9566505635303,2.99624160783879e+17,4457.76404469196,4.82890362938716e+17,0.0112137656885247,0.0,0.6101808069759762,CAUTION
0.5,R0p5,90000,0.18,2.09693516410609,42.73088756829559,4627108531774648.0,0.0,0.0,0.0,0.0,2944.940379643984,3.188924810990504e+17,5529.727531240667,5.987858173387675e+17,0.0050168940752259,0.0,0.6492272655173849,CAUTION
0.5,R0p5,95000,0.19,1.95424494491053,28.734058595427875,3109328931895321.0,0.0,0.0,0.0,0.0,3324.500257269115,3.597460762352973e+17,4955.240743891639,5.362094379504182e+17,0.003458403424066,0.0,0.5964079699647137,CAUTION
0.5,R0p5,100000,0.2,2.08713880804925,85.95461470760037,9307049273274936.0,0.0,0.0,0.0,0.0,2843.607974158703,3.0790202037904544e+17,5654.286607821897,6.122384963650328e+17,0.0100135280499525,0.0,0.6587122488129705,CAUTION
0.5,R0p5,105000,0.21,1.93513368327063,45.63762027059246,4938234090134132.0,0.0,0.0,0.0,0.0,4502.611143208732,4.872065570066265e+17,5406.363660396544,5.849974028693144e+17,0.0045845702803186,0.0,0.5431013715239712,CAUTION
0.5,R0p5,110000,0.22,1.94390420973748,27.03552543604428,2925218896112511.5,0.0,0.0,0.0,0.0,3766.4336139111065,4.075246402896675e+17,5485.261030927059,5.93500180188292e+17,0.0029137096283558,0.0,0.5911650549446849,CAUTION
0.5,R0p5,115000,0.23,1.94628632978323,73.6477802105267,7968327879593261.0,0.0,0.0,0.0,0.0,4055.903209714069,4.388287947105972e+17,4661.359907475877,5.0433623391475e+17,0.0083777188814761,0.0,0.5302476571403163,CAUTION
0.5,R0p5,120000,0.24,1.7448787100449,124.6248860641352,1.347819433851326e+16,0.0,0.0,0.0,0.0,3486.236779087807,3.7703686881957626e+17,5595.601604861045,6.051648932493425e+17,0.013536673357516,0.0,0.607790575028618,LOW_CONFIDENCE
0.5,R0p5,125000,0.25,1.67643323835599,108.88747895361672,1.177074765744121e+16,0.0,0.0,0.0,0.0,3692.672620905936,3.991782895510056e+17,5474.673066459687,5.918127207237213e+17,0.01173832923357,0.0,0.5901827787530716,LOW_CONFIDENCE
0.5,R0p5,130000,0.26,1.65163038279734,8.069601094228537,872275496867632.4,0.0,0.0,0.0,0.0,3306.068168680107,3.573661474513566e+17,4283.590276162789,4.630304265212835e+17,0.001062107125372,0.0,0.5637988422675159,LOW_CONFIDENCE
0.5,R0p5,135000,0.27,1.7164724727174,133.5186785989297,1.444188265621638e+16,0.0,0.0,0.0,0.0,2891.05537603034,3.127074273905252e+17,4488.190779436189,4.854596020234231e+17,0.0177722425162984,0.0,0.5974086609346783,LOW_CONFIDENCE
0.5,R0p5,140000,0.28,1.76099414513599,7.746703680962898,838151548923160.6,0.0,0.0,0.0,0.0,2986.9034444223457,3.2316683992685466e+17,4679.01763565035,5.062444673592657e+17,0.0010095177298871,0.0,0.6097498311767617,LOW_CONFIDENCE
0.5,R0p5,145000,0.29,1.63117721943314,80.77317899153265,8736919639552306.0,0.0,0.0,0.0,0.0,2385.396771087476,2.580190622387607e+17,4462.825833591865,4.827264589585805e+17,0.0116572706223729,0.0,0.6440797444427842,LOW_CONFIDENCE
0.5,R0p5,150000,0.3,1.54275669132945,87.33583751863583,9442378397788854.0,0.0,0.0,0.0,0.0,4418.770540315286,4.77738631472513e+17,3077.263071271134,3.327005634117128e+17,0.0115167588899341,0.0,0.4057909998878261,LOW_CONFIDENCE
0.5,R0p5,155000,0.31,1.76121535011701,20.5319057287966,2222147320675460.0,0.0,0.0,0.0,0.0,2189.098367459066,2.36923894751844e+17,4744.3940143912005,5.1348094943381645e+17,0.0029525214292779,0.0,0.6822515737923729,LOW_CONFIDENCE
0.5,R0p5,160000,0.32,1.52484153669067,111.2185133935754,1.2035049785339182e+16,0.0,0.0,0.0,0.0,2910.797363224125,3.1497985463506464e+17,4312.567500481065,4.666665916245156e+17,0.0151635761263332,0.0,0.5879771595407132,LOW_CONFIDENCE
0.5,R0p5,165000,0.33,1.85763355932788,56.260738358822586,6097168457894649.0,0.0,0.0,0.0,0.0,2500.2649621792457,2.7096225731256986e+17,3728.641622821723,4.040856333677436e+17,0.0089513509289913,0.0,0.5932446076596327,LOW_CONFIDENCE
0.5,R0p5,170000,0.34,2.03123671318524,102.23170646666426,1.1081603195752016e+16,0.0,0.0,0.0,0.0,2804.2323811916617,3.03970182941022e+17,4007.897374788387,4.3444377377368346e+17,0.0147854154026955,0.0,0.5796482287708105,LOW_CONFIDENCE
0.5,R0p5,175000,0.35,2.09433559254791,36.500338773246426,3957271668587137.5,0.0,0.0,0.0,0.0,2161.6131523246136,2.343564682859712e+17,4014.93316792581,4.352885976047199e+17,0.0058747890972674,0.0,0.6462100460962452,LOW_CONFIDENCE
0.5,R0p5,180000,0.36,1.7757037005785,44.91408325101813,4864583606000186.0,0.0,0.0,0.0,0.0,2432.766189076784,2.6348961537239443e+17,4673.828862032455,5.0621608221243584e+17,0.0062803643828437,0.0,0.6535444161815447,LOW_CONFIDENCE
0.5,R0p5,185000,0.37,2.13698388047204,76.38110007174147,8283768342508861.0,0.0,0.0,0.0,0.0,1921.903076476476,2.084363782052456e+17,4444.009683912116,4.819666998618375e+17,0.0118561962130494,0.0,0.6898179096093846,LOW_CONFIDENCE
0.5,R0p5,190000,0.38,2.19668628002476,5.922193513736196,642343905828363.8,0.0,0.0,0.0,0.0,3300.1714918329444,3.579493039277642e+17,3219.7980786767084,3.492316941414939e+17,0.0009074918383391,0.0,0.493388213458756,LOW_CONFIDENCE
0.5,R0p5,195000,0.39,2.11242453627299,28.884700933825883,3133013987486729.0,0.0,0.0,0.0,0.0,1634.71402609929,1.773112320270595e+17,3835.045357021727,4.159728284437407e+17,0.0052530588436496,0.0,0.69745291719148,LOW_CONFIDENCE
0.5,R0p5,200000,0.4,2.22758495350954,35.75543959008624,3880587770222413.0,0.0,0.0,0.0,0.0,1617.5130530643082,1.755509495578077e+17,3362.9678694201234,3.649875972813114e+17,0.0071279415500467,0.0,0.6704165487188755,LOW_CONFIDENCE
1.0,R1p0,0,-1.42709516329022e-16,0.0890998228055931,14.51053179440416,1570442015256941.0,0.0,0.0,0.0,0.0,646.6069495029151,6.998080671640874e+16,466.4899782304946,5.048715456396868e+16,0.0128684247978285,0.0,0.4136989111670453,ACCEPTABLE
1.0,R1p0,5000,0.0099999999999997,1.31468621775351,3.9394531805486297,427489366833839.3,0.0,0.0,0.0,0.0,714.8587035996673,7.757282053417429e+16,1383.757999872457,1.501583605911405e+17,0.0018736494471664,0.0,0.6581312919962328,CAUTION
1.0,R1p0,10000,0.0199999999999998,2.59283647366,0.0,0.0,0.0,0.0,0.0,0.0,659.0354058776239,7.170850144057971e+16,1949.1009815523817,2.1207830307289683e+17,0.0,0.0,0.7473155893787362,LOW_CONFIDENCE
1.0,R1p0,15000,0.0299999999999999,3.30848766450538,0.0,0.0,0.0,0.0,0.0,0.0,991.8603382736852,1.0797996814883074e+17,1728.7837307517466,1.8820594490923296e+17,0.0,0.0,0.6354317900066282,CAUTION
1.0,R1p0,20000,0.0399999999999998,3.41761498714978,15.27597475537711,1660933524311402.8,0.0,0.0,0.0,0.0,1148.790371993148,1.2490623163526454e+17,2549.40528415219,2.771929628919106e+17,0.0041136640517896,0.0,0.6865288165763701,CAUTION
1.0,R1p0,25000,0.0499999999999997,3.19519799689547,28.994394115617347,3148057176824071.0,0.0,0.0,0.0,0.0,983.1832239306932,1.0674880778284354e+17,3272.609134583004,3.5532250241141754e+17,0.0067668231325223,0.0,0.7637740974098195,LOW_CONFIDENCE
1.0,R1p0,30000,0.0599999999999998,3.45749856416673,14.025013558620469,1523499567913687.5,0.0,0.0,0.0,0.0,1009.4712825658733,1.0965615515324022e+17,3335.6447308723923,3.62342131432315e+17,0.0032173800920321,0.0,0.7652068859929485,LOW_CONFIDENCE
1.0,R1p0,35000,0.0699999999999999,3.254483264573,15.2541558736339,1655251935833870.0,0.0,0.0,0.0,0.0,879.6670810975036,9.545402911430342e+16,4386.446374768933,4.759800485464736e+17,0.002888296554045,0.0,0.8305512316579146,LOW_CONFIDENCE
1.0,R1p0,40000,0.0799999999999998,2.33569927738496,0.0,0.0,0.0,0.0,0.0,0.0,914.3365894768448,9.909765151282898e+16,4023.645602295743,4.360908600798461e+17,0.0,0.0,0.8148359888781561,LOW_CONFIDENCE
1.0,R1p0,45000,0.0899999999999997,1.7466261793648,0.0,0.0,0.0,0.0,0.0,0.0,966.1571872508756,1.0459143505660576e+17,3401.2566470990896,3.682033507696092e+17,0.0,0.0,0.7787804811048602,LOW_CONFIDENCE
1.0,R1p0,50000,0.0999999999999999,1.69525776700191,29.060874753265004,3146280095157196.5,0.0,0.0,0.0,0.0,1844.7733789497,1.997246748951775e+17,3968.372429005262,4.29636454152059e+17,0.0049742976124551,0.0,0.6792591643070166,CAUTION
1.0,R1p0,55000,0.11,1.66096284068435,23.361858972843407,2529148336217377.0,0.0,0.0,0.0,0.0,1978.7791522223088,2.1422207909063347e+17,3487.928843965401,3.776022037807044e+17,0.0042552935735205,0.0,0.6353159314879795,CAUTION
1.0,R1p0,60000,0.12,1.7239190980498,10.49639688648827,1136734551118920.8,0.0,0.0,0.0,0.0,1839.469185651007,1.9921009101130285e+17,3690.7666377048936,3.997011548407449e+17,0.0018944060945845,0.0,0.666115323931579,CAUTION
1.0,R1p0,65000,0.13,1.97732035026741,17.226139954250872,1866441484626556.8,0.0,0.0,0.0,0.0,1766.2247271576196,1.913693439560565e+17,3449.510987672212,3.737523569508543e+17,0.0032918527656574,0.0,0.6591890182647892,CAUTION
1.0,R1p0,70000,0.14,1.98108330320421,26.96800289656178,2921744185937333.0,0.0,0.0,0.0,0.0,1712.689135699213,1.8555469397347142e+17,3345.15064653064,3.624174355836887e+17,0.0053036425438629,0.0,0.6578716026032593,CAUTION
1.0,R1p0,75000,0.15,2.00378867915222,39.95450992303604,4329329213667243.0,0.0,0.0,0.0,0.0,1374.4396670767649,1.4892941534161517e+17,4064.946074094253,4.4046316234282464e+17,0.0072918468450756,0.0,0.7418677957227808,LOW_CONFIDENCE
1.0,R1p0,80000,0.16,1.63028675008845,121.8837238634376,1.3194402756947244e+16,0.0,0.0,0.0,0.0,3920.006332869429,4.2435643354328576e+17,4246.557076546734,4.5970686341271226e+17,0.0147052544226351,0.0,0.5123465238133749,CAUTION
1.0,R1p0,85000,0.17,1.67809927097508,39.01137592127385,4223362642278800.0,0.0,0.0,0.0,0.0,3655.350314396378,3.957273897085256e+17,4239.0921398807,4.58923146337599e+17,0.004911560713514,0.0,0.5337047956785946,CAUTION
1.0,R1p0,90000,0.18,1.48544732521908,35.17421357784751,3805709560134240.0,0.0,0.0,0.0,0.0,3919.89567127048,4.241170708157107e+17,3366.456788699933,3.642371920037157e+17,0.004785647408866,0.0,0.4580251715435051,CAUTION
1.0,R1p0,95000,0.19,1.59372285512277,58.772259298971726,6361099872848736.0,0.0,0.0,0.0,0.0,3481.1495293178505,3.7677537144975206e+17,4141.122341900219,4.482062305706431e+17,0.0076299346247203,0.0,0.5376089522258714,CAUTION
1.0,R1p0,100000,0.2,1.64745373450541,95.03986662116912,1.0288887583568622e+16,0.0,0.0,17.05498223024501,1846349338916956.8,3497.6092417934287,3.786464520568641e+17,3116.6340433798896,3.374025916858358e+17,0.0141203118645092,0.0,0.4630461534156682,CAUTION
1.0,R1p0,105000,0.21,1.47008218977765,40.75415687453821,4411249255174127.0,0.0,0.0,0.0,0.0,3476.567835407045,3.7630535019319866e+17,3331.0530618095227,3.60554762133556e+17,0.0059509236209533,0.0,0.4864005016517903,LOW_CONFIDENCE
1.0,R1p0,110000,0.22,1.40489125245263,64.59669041638085,6991447028548305.0,0.0,0.0,0.0,0.0,3219.84812376933,3.4849150091434605e+17,3624.1021992192495,3.922448408511885e+17,0.0093502570498602,0.0,0.5245824038234438,LOW_CONFIDENCE
1.0,R1p0,115000,0.23,1.56452340187383,58.65967231487511,6353244107700190.0,0.0,0.0,0.0,0.0,3134.5007555405955,3.394878912521671e+17,4272.753539149221,4.62768460426111e+17,0.0078383168428769,0.0,0.5709407282672943,LOW_CONFIDENCE
1.0,R1p0,120000,0.24,1.63074061331015,48.34003976601791,5235787871580638.0,0.0,0.0,0.0,0.0,2362.416573275212,2.5587715901447578e+17,3958.883999414999,4.287931273838749e+17,0.0075714071298599,0.0,0.6200723599845015,LOW_CONFIDENCE
