cooling_rate_K_per_ps,tag,step,strain,compressive_stress_GPa,total_line_length_A,ti_matrix_volume_A3,total_dislocation_density_m-2,delta_total_dislocation_density_m-2,hcp_identified_fraction,other_structure_fraction,unclassified_line_fraction,dxa_quality_flag
0.25,R0p25,135000,0.27,2.06519282682003,6907.272670827374,923519.4885286104,7.479292810411968e+17,6.344027550249533e+17,0.3253977272727272,0.4448674242424242,0.5865999707391961,CAUTION
0.25,R0p25,140000,0.28,2.05217603146659,7867.279395855502,923514.1877415772,8.518850603794911e+17,7.383585343632476e+17,0.3232007575757575,0.4459090909090909,0.670866935571029,CAUTION
0.25,R0p25,145000,0.29,2.46167558297963,6474.972224075163,922143.7044152308,7.021652040861903e+17,5.886386780699469e+17,0.3175189393939394,0.4403409090909091,0.5350179466243233,CAUTION
0.25,R0p25,150000,0.3,2.04045317618663,5421.2248154065655,922876.730554318,5.874267533162693e+17,4.739002273000259e+17,0.2787310606060606,0.4245454545454545,0.6301344697848511,LOW_CONFIDENCE
0.25,R0p25,155000,0.31,2.11250358418356,4766.628069909994,921746.0454306814,5.1713029782328064e+17,4.036037718070373e+17,0.2709090909090909,0.3815909090909091,0.6705518462994531,LOW_CONFIDENCE
0.25,R0p25,160000,0.32,2.40806829971776,5180.180945278153,920536.47027651,5.6273500426573376e+17,4.492084782494904e+17,0.2455681818181818,0.3807575757575757,0.420042206504018,LOW_CONFIDENCE
0.25,R0p25,165000,0.33,2.38045826429158,4797.862962257546,920921.6915586864,5.209849009134562e+17,4.074583748972128e+17,0.2038825757575757,0.3825378787878788,0.4486464721176571,LOW_CONFIDENCE
0.25,R0p25,170000,0.34,2.62142323873986,4751.13575368509,919780.0661133572,5.1655128532645786e+17,4.0302475931021446e+17,0.2000568181818181,0.3748295454545454,0.7267326090534417,LOW_CONFIDENCE
0.25,R0p25,175000,0.35,2.69973753649096,5174.657735475347,920050.126407227,5.624321530917296e+17,4.489056270754862e+17,0.1993560606060606,0.3894886363636363,0.5354881013518732,LOW_CONFIDENCE
0.25,R0p25,180000,0.36,2.25286607745537,6069.068066930393,921495.036240688,6.586110427343848e+17,5.450845167181414e+17,0.1750757575757575,0.3997537878787879,0.6773863265890958,LOW_CONFIDENCE
0.25,R0p25,185000,0.37,2.53100638294222,6401.442462997758,920383.8718028596,6.955187568050853e+17,5.819922307888419e+17,0.1681628787878787,0.4079545454545454,0.739923501155512,LOW_CONFIDENCE
0.25,R0p25,190000,0.38,2.54448508375729,6349.060502793268,920811.394224436,6.895071610338659e+17,5.7598063501762246e+17,0.1635037878787879,0.4189583333333333,0.6211282571550583,LOW_CONFIDENCE
0.25,R0p25,195000,0.39,2.31259666557007,5791.7566319223415,921082.8743773622,6.287986448382812e+17,5.152721188220378e+17,0.1407575757575757,0.4061363636363636,0.6755971173734476,LOW_CONFIDENCE
0.25,R0p25,200000,0.4,2.41288700966304,6161.317579488485,920686.716919685,6.692089139834913e+17,5.55682387967248e+17,0.1269886363636363,0.405965909090909,0.67933090506403,LOW_CONFIDENCE
0.5,R0p5,0,-2.85370661570263e-16,0.0438071161988831,1109.4955125373813,924345.8216901198,1.2003034865335624e+17,0.0,0.6679356060606061,0.3006439393939394,0.3469050819563603,ACCEPTABLE
0.5,R0p5,5000,0.0099999999999995,1.30441877790902,1281.4942994561775,921472.715126142,1.3907023815466434e+17,1.9039889501308096e+16,0.6703598484848485,0.2990719696969697,0.5197064157246493,CAUTION
0.5,R0p5,10000,0.0199999999999997,1.95049361604622,1243.8395030423967,920444.2875269512,1.3513468657449584e+17,1.51043379211396e+16,0.6796590909090909,0.2795643939393939,0.2309292221712077,ACCEPTABLE
0.5,R0p5,15000,0.0299999999999996,2.77628807004511,1076.5617857588784,918636.6446393032,1.1719125206262413e+17,-2839096590732128.0,0.6941477272727272,0.2740340909090909,0.2446489487428125,ACCEPTABLE
0.5,R0p5,20000,0.0399999999999996,3.34534483938336,1348.157066503659,918094.7306915896,1.4684291516280774e+17,2.6812566509451504e+16,0.6764015151515151,0.292310606060606,0.4738494132402772,ACCEPTABLE
0.5,R0p5,25000,0.0499999999999996,4.22491987769767,891.2534263426671,916463.8736566876,9.72491608192442e+16,-2.278118783411203e+16,0.675625,0.2959659090909091,0.2483492699845735,ACCEPTABLE
0.5,R0p5,30000,0.0599999999999996,4.8377894669192,1244.0004970482405,916348.9022971382,1.357562052979747e+17,1.5725856644618464e+16,0.6614772727272727,0.3123863636363636,0.4184245495130509,ACCEPTABLE
0.5,R0p5,35000,0.0699999999999996,3.73837295446747,3914.377969287575,920263.0837909196,4.253542316576187e+17,3.0532388300426246e+17,0.5730113636363636,0.3568181818181818,0.7117568381312723,LOW_CONFIDENCE
0.5,R0p5,40000,0.0799999999999997,3.47529077610051,3368.353473549685,921403.9002693904,3.655675293500366e+17,2.455371806966804e+17,0.5384280303030303,0.3670833333333333,0.6738305757967412,CAUTION
0.5,R0p5,45000,0.0899999999999997,3.21440042978957,4758.061262316436,922089.6025997872,5.160085580513339e+17,3.9597820939797766e+17,0.5269886363636364,0.3849431818181818,0.7436116317528847,LOW_CONFIDENCE
0.5,R0p5,50000,0.0999999999999997,2.21330880415043,5858.995966771013,923675.8014133404,6.343130303734286e+17,5.142826817200724e+17,0.4443371212121212,0.3953598484848485,0.6679595457162282,CAUTION
0.5,R0p5,55000,0.11,2.16495151685004,6242.40252808328,923372.4464115988,6.760438382520993e+17,5.560134895987431e+17,0.443844696969697,0.3897537878787879,0.6935172114032694,CAUTION
0.5,R0p5,60000,0.12,1.97631286189645,6440.740330906338,923685.024778231,6.972875123154353e+17,5.77257163662079e+17,0.421155303030303,0.4006060606060606,0.6752902546432743,CAUTION
0.5,R0p5,65000,0.13,1.94667161066491,6499.716553522906,923672.6365078586,7.036818345183928e+17,5.836514858650365e+17,0.3999431818181818,0.4029545454545454,0.6283248297892213,CAUTION
0.5,R0p5,70000,0.14,2.06287116903144,6900.04131357912,923546.7095941324,7.47124237669739e+17,6.270938890163827e+17,0.3730871212121212,0.4082386363636364,0.6418646031814791,CAUTION
0.5,R0p5,75000,0.15,2.08374808335274,7319.957799894342,923261.1717830691,7.928371758294034e+17,6.728068271760471e+17,0.3587689393939394,0.4092045454545454,0.5950355592483982,CAUTION
0.5,R0p5,80000,0.16,2.02808416650759,7400.427757290256,923508.7905950953,8.013380958205642e+17,6.81307747167208e+17,0.353655303030303,0.409469696969697,0.6331135324871843,CAUTION
0.5,R0p5,85000,0.17,2.24359760423819,7305.644480665333,923142.0601486925,7.91388974248297e+17,6.713586255949407e+17,0.335,0.42875,0.6101808069759762,CAUTION
0.5,R0p5,90000,0.18,2.09693516410609,8517.398798452949,923490.0645805014,9.223054069695928e+17,8.022750583162364e+17,0.3270454545454545,0.4369318181818182,0.6492272655173849,CAUTION
0.5,R0p5,95000,0.19,1.95424494491053,8308.475059756183,924124.118895094,8.990648431176111e+17,7.790344944642548e+17,0.3289204545454545,0.4364772727272727,0.5964079699647137,CAUTION
0.5,R0p5,100000,0.2,2.08713880804925,8583.849196688203,923543.1357865256,9.294475660173532e+17,8.09417217363997e+17,0.3094886363636364,0.4471212121212121,0.6587122488129705,CAUTION
0.5,R0p5,105000,0.21,1.93513368327063,9954.612423875862,924168.8311570674,1.0771421939660744e+18,9.571118453127182e+17,0.3111742424242424,0.4571401515151515,0.5431013715239712,CAUTION
0.5,R0p5,110000,0.22,1.94390420973748,9278.730170274212,924222.3025419848,1.0039500393740722e+18,8.839196907207159e+17,0.309375,0.4647916666666666,0.5911650549446849,CAUTION
0.5,R0p5,115000,0.23,1.94628632978323,8790.910897400474,924256.3976206012,9.511333565049408e+17,8.311030078515844e+17,0.3147916666666667,0.464469696969697,0.5302476571403163,CAUTION
0.5,R0p5,120000,0.24,1.7448787100449,9206.46327001299,924640.815632298,9.956799564074322e+17,8.756496077540759e+17,0.291590909090909,0.4628598484848484,0.607790575028618,LOW_CONFIDENCE
0.5,R0p5,125000,0.25,1.67643323835599,9276.23316631923,925068.5013604928,1.0027617579321672e+18,8.827314092788109e+17,0.2830681818181818,0.4575,0.5901827787530716,LOW_CONFIDENCE
0.5,R0p5,130000,0.26,1.65163038279734,7597.7280459371295,925120.6898745544,8.212688494695082e+17,7.012385008161519e+17,0.2689772727272727,0.4651893939393939,0.5637988422675159,LOW_CONFIDENCE
0.5,R0p5,135000,0.27,1.7164724727174,7512.764834065463,924524.0511731884,8.126089120701652e+17,6.92578563416809e+17,0.2637310606060606,0.4600189393939394,0.5974086609346783,LOW_CONFIDENCE
0.5,R0p5,140000,0.28,1.76099414513599,7673.66778375366,924260.4981063028,8.302494588350438e+17,7.102191101816876e+17,0.2626136363636364,0.4623484848484848,0.6097498311767617,LOW_CONFIDENCE
0.5,R0p5,145000,0.29,1.63117721943314,6928.995783670874,924504.0852369748,7.494824408368936e+17,6.294520921835373e+17,0.2504545454545454,0.4614962121212121,0.6440797444427842,LOW_CONFIDENCE
0.5,R0p5,150000,0.3,1.54275669132945,7583.369449105057,924934.734018788,8.198815732820148e+17,6.998512246286586e+17,0.2528977272727272,0.4529545454545454,0.4057909998878261,LOW_CONFIDENCE
0.5,R0p5,155000,0.31,1.76121535011701,6954.024287579064,923966.9007433574,7.52626991506336e+17,6.325966428529797e+17,0.2597916666666666,0.449185606060606,0.6822515737923729,LOW_CONFIDENCE
0.5,R0p5,160000,0.32,1.52484153669067,7334.583377098767,924121.7558489804,7.936814960449197e+17,6.736511473915634e+17,0.2588257575757576,0.441060606060606,0.5879771595407132,LOW_CONFIDENCE
0.5,R0p5,165000,0.33,1.85763355932788,6285.167323359791,922735.5082501592,6.81145059138208e+17,5.611147104848518e+17,0.2494318181818181,0.4387878787878788,0.5932446076596327,LOW_CONFIDENCE
0.5,R0p5,170000,0.34,2.03123671318524,6914.361462446711,922535.3467434515,7.494955599104573e+17,6.29465211257101e+17,0.2332196969696969,0.4349242424242424,0.5796482287708105,LOW_CONFIDENCE
0.5,R0p5,175000,0.35,2.09433559254791,6213.046659023674,922361.2081775046,6.736023375592785e+17,5.5357198890592224e+17,0.2084848484848485,0.4333143939393939,0.6462100460962452,LOW_CONFIDENCE
0.5,R0p5,180000,0.36,1.7757037005785,7151.509134360252,923287.3127233168,7.7457028119083e+17,6.545399325374737e+17,0.1790151515151515,0.4287121212121212,0.6535444161815447,LOW_CONFIDENCE
0.5,R0p5,185000,0.37,2.13698388047204,6442.293860460329,922057.4129262568,6.986868464095914e+17,5.786564977562351e+17,0.1585227272727272,0.416685606060606,0.6898179096093846,LOW_CONFIDENCE
0.5,R0p5,190000,0.38,2.19668628002476,6525.891764023386,921966.1710807332,7.078233419750861e+17,5.877929933217298e+17,0.1519507575757575,0.4159090909090909,0.493388213458756,LOW_CONFIDENCE
0.5,R0p5,195000,0.39,2.11242453627299,5498.644084054848,921946.1211852706,5.964170744582874e+17,4.763867258049312e+17,0.1527651515151515,0.4032196969696969,0.69745291719148,LOW_CONFIDENCE
0.5,R0p5,200000,0.4,2.22758495350954,5016.236362074515,921392.3690749804,5.444191346093412e+17,4.2438878595598496e+17,0.1352272727272727,0.4027462121212121,0.6704165487188755,LOW_CONFIDENCE
1.0,R1p0,0,-1.42709516329022e-16,0.0890998228055931,1127.6074595278135,923977.558765841,1.2203840329563434e+17,0.0,0.6647537878787879,0.303655303030303,0.4136989111670453,ACCEPTABLE
1.0,R1p0,5000,0.0099999999999997,1.31468621775351,2102.5561566526726,921532.437105004,2.281586704921486e+17,1.0612026719651427e+17,0.6684280303030303,0.3003030303030303,0.6581312919962328,CAUTION
1.0,R1p0,10000,0.0199999999999998,2.59283647366,2608.136387430005,919047.8013596823,2.837868045134764e+17,1.6174840121784205e+17,0.6672537878787879,0.2989962121212121,0.7473155893787362,LOW_CONFIDENCE
1.0,R1p0,15000,0.0299999999999999,3.30848766450538,2720.644069025432,918559.576630534,2.961859130580637e+17,1.7414750976242934e+17,0.6315530303030303,0.3223674242424242,0.6354317900066282,CAUTION
1.0,R1p0,20000,0.0399999999999998,3.41761498714978,3713.471630900713,919722.2243864512,4.037601280514864e+17,2.81721724755852e+17,0.5863257575757576,0.3379356060606061,0.6865288165763701,CAUTION
1.0,R1p0,25000,0.0499999999999997,3.19519799689547,4284.786752629311,921025.0159709124,4.652193673710848e+17,3.431809640754505e+17,0.5732007575757576,0.3458712121212121,0.7637740974098195,LOW_CONFIDENCE
1.0,R1p0,30000,0.0599999999999998,3.45749856416673,4359.141026996888,920578.7683830208,4.735217861534693e+17,3.514833828578349e+17,0.5514204545454545,0.3552083333333333,0.7652068859929485,LOW_CONFIDENCE
1.0,R1p0,35000,0.0699999999999999,3.254483264573,5281.367611740069,921560.9747013694,5.730893295966108e+17,4.510509263009764e+17,0.5117613636363636,0.3686742424242424,0.8305512316579146,LOW_CONFIDENCE
1.0,R1p0,40000,0.0799999999999998,2.33569927738496,4937.98219177259,922662.2180430548,5.351885115926753e+17,4.13150108297041e+17,0.4471401515151515,0.380719696969697,0.8148359888781561,LOW_CONFIDENCE
1.0,R1p0,45000,0.0899999999999997,1.7466261793648,4367.413834349967,923744.0778281542,4.727947858262151e+17,3.5075638253058074e+17,0.4201893939393939,0.3814772727272727,0.7787804811048602,LOW_CONFIDENCE
1.0,R1p0,50000,0.0999999999999999,1.69525776700191,5842.206682708233,923658.2209573764,6.325074091423944e+17,5.1046900584676006e+17,0.4106060606060606,0.3900189393939394,0.6792591643070166,CAUTION
1.0,R1p0,55000,0.11,1.66096284068435,5490.069855160549,923704.5782685752,5.943534312075547e+17,4.723150279119204e+17,0.3929166666666667,0.3866287878787879,0.6353159314879795,CAUTION
1.0,R1p0,60000,0.12,1.7239190980498,5540.732220242386,923381.5296769472,6.000479804031663e+17,4.78009577107532e+17,0.3772916666666667,0.3858143939393939,0.666115323931579,CAUTION
1.0,R1p0,65000,0.13,1.97732035026741,5232.9618547840855,922940.2633909804,5.669881423915377e+17,4.4494973909590336e+17,0.3691666666666666,0.3970075757575758,0.6591890182647892,CAUTION
1.0,R1p0,70000,0.14,1.98108330320421,5084.807785126409,923010.4068097972,5.508938737430968e+17,4.288554704474625e+17,0.3661174242424242,0.4004356060606061,0.6578716026032593,CAUTION
1.0,R1p0,75000,0.15,2.00378867915222,5479.340251094052,922879.9186004102,5.937219068981069e+17,4.716835036024726e+17,0.3585227272727272,0.4196401515151515,0.7418677957227808,LOW_CONFIDENCE
1.0,R1p0,80000,0.16,1.63028675008845,8288.447133279597,923753.2468020368,8.972576997129448e+17,7.752192964173105e+17,0.3779166666666667,0.4368371212121212,0.5123465238133749,CAUTION
1.0,R1p0,85000,0.17,1.67809927097508,7942.765690330328,923704.1482240435,8.59881998538326e+17,7.378435952426917e+17,0.3612121212121212,0.4472916666666666,0.5337047956785946,CAUTION
1.0,R1p0,90000,0.18,1.48544732521908,7349.938382982896,924248.5014176124,7.952340059745362e+17,6.731956026789019e+17,0.3450189393939394,0.4396969696969697,0.4580251715435051,CAUTION
1.0,R1p0,95000,0.19,1.59372285512277,7702.852277207552,923932.3461942648,8.337030637509426e+17,7.116646604553083e+17,0.3398295454545454,0.4471401515151515,0.5376089522258714,CAUTION
1.0,R1p0,100000,0.2,1.64745373450541,6730.720081335269,923713.7236580172,7.286586643620288e+17,6.066202610663945e+17,0.3172348484848485,0.4642424242424242,0.4630461534156682,CAUTION
1.0,R1p0,105000,0.21,1.47008218977765,6848.375054091111,923868.8298271984,7.412713615819292e+17,6.192329582862949e+17,0.2867045454545454,0.4754356060606061,0.4864005016517903,LOW_CONFIDENCE
1.0,R1p0,110000,0.22,1.40489125245263,6908.547013404964,923938.7805215714,7.477277887940832e+17,6.256893854984489e+17,0.2952272727272727,0.4692424242424242,0.5245824038234438,LOW_CONFIDENCE
1.0,R1p0,115000,0.23,1.56452340187383,7483.707725872499,923302.667432203,8.105367816910396e+17,6.884983783954053e+17,0.2740151515151515,0.476875,0.5709407282672943,LOW_CONFIDENCE
1.0,R1p0,120000,0.24,1.63074061331015,6384.551634447873,923261.998989743,6.915211111725614e+17,5.694827078769271e+17,0.2437310606060606,0.51,0.6200723599845015,LOW_CONFIDENCE
1.0,R1p0,125000,0.25,1.63189421843551,6811.362113448609,923349.5522694684,7.376796898538804e+17,6.156412865582461e+17,0.2280492424242424,0.5175,0.5574794964811701,LOW_CONFIDENCE
1.0,R1p0,130000,0.26,1.49684351767494,6431.856222434132,924414.0032832,6.957765892327891e+17,5.737381859371548e+17,0.1913068181818182,0.4394886363636364,0.621133299383835,LOW_CONFIDENCE
1.0,R1p0,135000,0.27,1.71253199252552,6016.550183357667,923247.1292764636,6.516727745552545e+17,5.296343712596202e+17,0.2025,0.4261363636363636,0.6428466726846217,LOW_CONFIDENCE
1.0,R1p0,140000,0.28,1.90489993692144,6147.224896446093,922767.9689365842,6.661723318734476e+17,5.4413392857781325e+17,0.2148863636363636,0.3909659090909091,0.6891114866902269,LOW_CONFIDENCE
1.0,R1p0,145000,0.29,2.25493776650909,6406.671269803567,921746.3367399748,6.950579584034619e+17,5.730195551078276e+17,0.2245833333333333,0.3931439393939394,0.6066137721661913,LOW_CONFIDENCE
1.0,R1p0,150000,0.3,2.12258142175537,5468.691919915617,922148.440212124,5.930381358838107e+17,4.709997325881764e+17,0.2152272727272727,0.3924621212121212,0.6730934254396876,LOW_CONFIDENCE
1.0,R1p0,155000,0.31,2.21119708904947,4876.071092670888,921807.3294423836,5.289685747693614e+17,4.069301714737271e+17,0.2065151515151515,0.3831060606060606,0.6426786527922571,LOW_CONFIDENCE
1.0,R1p0,160000,0.32,2.67332444536961,4769.312262420755,920131.514289701,5.183294114322824e+17,3.9629100813664806e+17,0.2082575757575757,0.374715909090909,0.6168119311510246,LOW_CONFIDENCE
1.0,R1p0,165000,0.33,2.78072617647596,5405.500643897232,919910.8199235508,5.876113778449151e+17,4.655729745492808e+17,0.194715909090909,0.3908333333333333,0.6618210414640813,LOW_CONFIDENCE
1.0,R1p0,170000,0.34,2.71632580680384,6143.370301931785,920254.8967466924,6.675726827045396e+17,5.455342794089053e+17,0.1654545454545454,0.4011931818181818,0.6444805704314984,LOW_CONFIDENCE
1.0,R1p0,175000,0.35,2.23867770463689,5385.050492782166,921477.6338813808,5.843929678574671e+17,4.623545645618328e+17,0.158655303030303,0.3981628787878788,0.7059160983068615,LOW_CONFIDENCE
1.0,R1p0,180000,0.36,2.65460495051285,5111.459913454538,920181.5688877952,5.5548383995917856e+17,4.334454366635442e+17,0.1561363636363636,0.3895643939393939,0.6171590406380789,LOW_CONFIDENCE
1.0,R1p0,185000,0.37,2.58925518228672,4867.517569481972,920597.294069584,5.287347248181307e+17,4.066963215224964e+17,0.131155303030303,0.3919318181818181,0.6295847243468383,LOW_CONFIDENCE
1.0,R1p0,190000,0.38,2.75754750944155,5770.8826844531695,919913.4319010696,6.273288859938929e+17,5.0529048269825856e+17,0.1296212121212121,0.4007007575757575,0.5848833639016274,LOW_CONFIDENCE
1.0,R1p0,195000,0.39,2.64055023745621,6374.615177888021,920299.576635484,6.926674030637857e+17,5.706289997681514e+17,0.1545454545454545,0.4171212121212121,0.6949801875814418,LOW_CONFIDENCE
1.0,R1p0,200000,0.4,2.17288739091533,6320.001729741634,921438.4080495856,6.858843385006299e+17,5.638459352049956e+17,0.1500378787878787,0.4200189393939394,0.7204960959856659,LOW_CONFIDENCE
2.0,R2p0,0,0.0,0.0176651238820598,1050.840918742959,924662.0352533356,1.1364594615967478e+17,0.0,0.6632765151515152,0.3047727272727272,0.4459840643488496,ACCEPTABLE
2.0,R2p0,5000,0.0099999999999999,1.35425648984061,1041.8552936033118,921607.3502043908,1.1304763285278192e+17,-598313306892864.0,0.6641856060606061,0.3047916666666667,0.2776537637999361,ACCEPTABLE
2.0,R2p0,10000,0.02,2.65925726501693,1845.9695151088447,918997.7639153732,2.008676829902312e+17,8.722173683055635e+16,0.6622916666666666,0.3057765151515151,0.554848530070229,CAUTION
2.0,R2p0,15000,0.0299999999999999,3.14512889665256,2721.230817079517,919323.335176735,2.9600367062980896e+17,1.823577244701341e+17,0.614375,0.3294507575757576,0.6124926920988464,CAUTION
2.0,R2p0,20000,0.04,3.31748996050783,3293.7064090079684,920376.1984251034,3.578652310483448e+17,2.4421928488867e+17,0.5853977272727273,0.3373484848484848,0.6837543085562929,CAUTION
2.0,R2p0,25000,0.0499999999999999,3.64004223719166,3996.984901152262,920615.9594335896,4.341641984581078e+17,3.20518252298433e+17,0.5601515151515152,0.3407575757575757,0.7104517405279224,LOW_CONFIDENCE
2.0,R2p0,30000,0.0599999999999999,3.48889414963483,4595.906952530368,921763.3264343472,4.985994583130893e+17,3.849535121534145e+17,0.5231060606060606,0.349905303030303,0.7813157482465196,LOW_CONFIDENCE
2.0,R2p0,35000,0.0699999999999999,2.64215602708392,7200.22276283373,923591.4532017814,7.795895834541317e+17,6.65943637294457e+17,0.4515530303030303,0.3783901515151515,0.7887287981871751,LOW_CONFIDENCE
2.0,R2p0,40000,0.08,1.78626027401112,6942.667979982696,924541.273304722,7.509311028556367e+17,6.37285156695962e+17,0.3908143939393939,0.3825189393939394,0.7719949494980448,LOW_CONFIDENCE
2.0,R2p0,45000,0.0899999999999999,1.61416597733452,5524.082747274026,925119.548395802,5.971209620262623e+17,4.834750158665875e+17,0.3651136363636363,0.3783901515151515,0.7324353911238737,LOW_CONFIDENCE
2.0,R2p0,50000,0.1,1.80220355407854,5740.637268120718,924260.5946460734,6.211059198427665e+17,5.074599736830917e+17,0.3579545454545454,0.3881439393939394,0.7074089557823889,LOW_CONFIDENCE
2.0,R2p0,55000,0.11,1.89783530499288,6030.097384296436,924569.2242755884,6.522061546036311e+17,5.385602084439564e+17,0.3317992424242424,0.396780303030303,0.7015636667328339,LOW_CONFIDENCE
2.0,R2p0,60000,0.12,1.87859831684105,5261.187902012919,924689.4139809026,5.68968112153772e+17,4.553221659940973e+17,0.3095643939393939,0.4112689393939394,0.7024242126178389,LOW_CONFIDENCE
2.0,R2p0,65000,0.13,1.57190200132549,5057.307751063408,925177.227785321,5.466312398511511e+17,4.329852936914764e+17,0.274375,0.4040909090909091,0.6007831688233668,LOW_CONFIDENCE
2.0,R2p0,70000,0.14,1.5857333006499,4899.570219983789,924825.9913304644,5.297829284550292e+17,4.161369822953544e+17,0.2747159090909091,0.3926515151515151,0.6313665727100002,LOW_CONFIDENCE
