cooling_rate_K_per_ps,tag,initial_total_density_m-2,peak_stress_GPa,strain_at_peak_stress,total_density_at_peak_stress_m-2,a_type_density_at_peak_stress_m-2,ca_type_density_at_peak_stress_m-2,maximum_total_density_m-2,strain_at_maximum_density,final_strain,final_total_density_m-2,final_a_type_density_m-2,final_ca_type_density_m-2,minimum_hcp_identified_fraction,maximum_unclassified_line_fraction
0.25,R0p25,1.135265260162434e+17,5.06290375848044,0.06,3.843562581222459e+17,0.0,0.0,9.25137503818397e+17,0.2,0.4,6.692089139834913e+17,3727269414352361.5,0.0,0.1269886363636363,0.739923501155512
0.5,R0p5,1.2003034865335624e+17,4.8377894669192,0.0599999999999996,1.357562052979747e+17,0.0,0.0,1.0771421939660744e+18,0.21,0.4,5.444191346093412e+17,3880587770222413.0,0.0,0.1352272727272727,0.7436116317528848
1.0,R1p0,1.2203840329563434e+17,3.45749856416673,0.0599999999999998,4.735217861534693e+17,1523499567913687.5,0.0,8.972576997129448e+17,0.16,0.4,6.858843385006299e+17,4855111667910378.0,0.0,0.1296212121212121,0.8305512316579146
2.0,R2p0,1.1364594615967478e+17,3.64004223719166,0.0499999999999999,4.341641984581078e+17,2608887874962098.0,0.0,9.355536050869176e+17,0.31,0.4,7.642332359542756e+17,1115652431735474.8,0.0,0.1231439393939393,0.7887287981871751
5.0,R5p0,9.289877874940387e+16,3.39960572784679,0.0399999999999997,4.136521634595e+17,697868860493089.5,0.0,9.29888148997756e+17,0.14,0.4,7.840545033254205e+17,0.0,0.0,0.1451515151515151,0.8007362326398462
