cooling_rate_K_per_ps,tag,frame_index,step,strain,strain_from_cell,szz_raw_GPa,compressive_stress_GPa,temperature_K,lx_A,ly_A,lz_A,cell_volume_A3,ti_matrix_volume_A3,ti_atom_count,total_line_length_A,total_dislocation_density_m-2,delta_total_dislocation_density_m-2,dislocation_segment_count,hcp_atom_count,fcc_atom_count,other_structure_atom_count,hcp_identified_fraction,other_structure_fraction,a_type_line_length_A,ca_type_line_length_A,c_type_line_length_A,hcp_partial_line_length_A,other_recognized_line_length_A,unclassified_line_length_A,a_type_density_m-2,ca_type_density_m-2,c_type_density_m-2,hcp_partial_density_m-2,other_recognized_density_m-2,unclassified_density_m-2,a_type_line_fraction,ca_type_line_fraction,unclassified_line_fraction,dxa_quality_flag,line_length_balance_error_A
1.0,R1p0,0,0,-1.42709516329022e-16,0.0,-0.0890998228055931,0.0890998228055931,372.105371675344,99.57888640333093,99.57888640333093,99.57888640333093,987419.718419438,923977.558765841,52800,1127.6074595278135,1.2203840329563434e+17,0.0,33,35099,1668,16033,0.6647537878787879,0.303655303030303,14.51053179440416,0.0,0.0,646.6069495029151,0.0,466.4899782304946,1570442015256941.0,0.0,0.0,6.998080671640874e+16,0.0,5.048715456396868e+16,0.0128684247978285,0.0,0.4136989111670453,ACCEPTABLE,-2.273736754432321e-13
1.0,R1p0,1,5000,0.0099999999999997,0.0099999999999999,-1.31468621775351,1.31468621775351,373.303784393993,99.79087329443256,100.11332989788087,98.5830975392976,984884.2443395696,921532.437105004,52800,2102.5561566526726,2.281586704921486e+17,1.0612026719651427e+17,65,35293,1651,15856,0.6684280303030303,0.3003030303030303,3.9394531805486297,0.0,0.0,714.8587035996673,0.0,1383.757999872457,427489366833839.3,0.0,0.0,7.757282053417429e+16,0.0,1.501583605911405e+17,0.0018736494471664,0.0,0.6581312919962328,CAUTION,-4.547473508864641e-13
1.0,R1p0,2,10000,0.0199999999999998,0.0199999999999999,-2.59283647366,2.59283647366,371.347343019083,100.12297835611211,100.52900213267752,97.5873086752643,982241.9374952884,919047.8013596823,52800,2608.136387430005,2.837868045134764e+17,1.6174840121784205e+17,86,35231,1782,15787,0.6672537878787879,0.2989962121212121,0.0,0.0,0.0,659.0354058776239,0.0,1949.1009815523817,0.0,0.0,0.0,7.170850144057971e+16,0.0,2.1207830307289683e+17,0.0,0.0,0.7473155893787362,LOW_CONFIDENCE,-1.3642420526593924e-12
1.0,R1p0,3,15000,0.0299999999999999,0.03,-3.30848766450538,3.30848766450538,372.994516465545,100.32823153818586,101.28786846797163,96.59151981123098,981566.1847638002,918559.576630534,52800,2720.644069025432,2.961859130580637e+17,1.7414750976242934e+17,134,33346,2433,17021,0.6315530303030303,0.3223674242424242,0.0,0.0,0.0,991.8603382736852,0.0,1728.7837307517466,0.0,0.0,0.0,1.0797996814883074e+17,0.0,1.8820594490923296e+17,0.0,0.0,0.6354317900066282,CAUTION,-4.547473508864641e-13
1.0,R1p0,4,20000,0.0399999999999998,0.0399999999999999,-3.41761498714978,3.41761498714978,373.810349261941,100.67046780276677,102.09954147143957,95.59573094719768,982571.9833182704,919722.2243864512,52800,3713.471630900713,4.037601280514864e+17,2.81721724755852e+17,168,30958,3999,17843,0.5863257575757576,0.3379356060606061,15.27597475537711,0.0,0.0,1148.790371993148,0.0,2549.40528415219,1660933524311402.8,0.0,0.0,1.2490623163526454e+17,0.0,2.771929628919106e+17,0.0041136640517896,0.0,0.6865288165763701,CAUTION,-1.8189894035458565e-12
1.0,R1p0,5,25000,0.0499999999999997,0.0499999999999998,-3.19519799689547,3.19519799689547,371.861247850079,100.89724832834732,103.07422006869754,94.59994208316438,983830.4275585924,921025.0159709124,52800,4284.786752629311,4.652193673710848e+17,3.431809640754505e+17,165,30265,4273,18262,0.5732007575757576,0.3458712121212121,28.994394115617347,0.0,0.0,983.1832239306932,0.0,3272.609134583004,3148057176824071.0,0.0,0.0,1.0674880778284354e+17,0.0,3.5532250241141754e+17,0.0067668231325223,0.0,0.7637740974098195,LOW_CONFIDENCE,-2.7284841053187847e-12
1.0,R1p0,6,30000,0.0599999999999998,0.0599999999999999,-3.45749856416673,3.45749856416673,373.632636292343,101.12977352197844,103.88660115769896,93.60415321913106,983407.89648186,920578.7683830208,52800,4359.141026996888,4.735217861534693e+17,3.514833828578349e+17,196,29115,4930,18755,0.5514204545454545,0.3552083333333333,14.025013558620469,0.0,0.0,1009.4712825658733,0.0,3335.6447308723923,1523499567913687.5,0.0,0.0,1.0965615515324022e+17,0.0,3.62342131432315e+17,0.0032173800920321,0.0,0.7652068859929485,LOW_CONFIDENCE,1.8189894035458565e-12
1.0,R1p0,7,35000,0.0699999999999999,0.07,-3.254483264573,3.254483264573,374.040876027083,101.22659561444584,105.01331392445452,92.60836435509776,984439.9025998088,921560.9747013694,52800,5281.367611740069,5.730893295966108e+17,4.510509263009764e+17,245,27021,6313,19466,0.5117613636363636,0.3686742424242424,15.2541558736339,0.0,0.0,879.6670810975036,0.0,4386.446374768933,1655251935833870.0,0.0,0.0,9.545402911430342e+16,0.0,4.759800485464736e+17,0.002888296554045,0.0,0.8305512316579146,LOW_CONFIDENCE,-1.8189894035458565e-12
1.0,R1p0,8,40000,0.0799999999999998,0.0799999999999999,-2.33569927738496,2.33569927738496,373.373422690563,101.05085235748788,106.49465978102512,91.61257549106443,985877.384232742,922662.2180430548,52800,4937.98219177259,5.351885115926753e+17,4.13150108297041e+17,205,23609,9089,20102,0.4471401515151515,0.380719696969697,0.0,0.0,0.0,914.3365894768448,0.0,4023.645602295743,0.0,0.0,0.0,9.909765151282898e+16,0.0,4.360908600798461e+17,0.0,0.0,0.8148359888781561,LOW_CONFIDENCE,2.7284841053187847e-12
1.0,R1p0,9,45000,0.0899999999999997,0.0899999999999998,-1.7466261793648,1.7466261793648,373.792838045891,101.0435806915664,107.80542839134068,90.61678662703116,987092.8706489004,923744.0778281542,52800,4367.413834349967,4.727947858262151e+17,3.5075638253058074e+17,163,22186,10472,20142,0.4201893939393939,0.3814772727272727,0.0,0.0,0.0,966.1571872508756,0.0,3401.2566470990896,0.0,0.0,0.0,1.0459143505660576e+17,0.0,3.682033507696092e+17,0.0,0.0,0.7787804811048602,LOW_CONFIDENCE,1.8189894035458565e-12
