Step Strain Szz_GPa Sxx_GPa Syy_GPa Sxy_GPa Sxz_GPa Syz_GPa VonMises_GPa Temp PotEng Lx Ly Lz Volume
0 -1.42709516329022e-16 -0.0890998228055931 0.0247399606452372 -0.150285885442447 -0.00320664912743065 0.123325135905863 -0.0122527998337805 0.26415364321489 372.105371675344 -333172.868145686 99.5788864033309 99.5788864033309 99.5788864033309 987419.718419438
100 0.000199999999999781 -0.0725536923748954 0.0184768684658117 0.00243326985176387 0.00316556274495403 0.124158142512239 -0.0157901564045495 0.232609726409512 371.636414179373 -333168.637135741 99.5083975628279 99.7197641309938 99.5589706260503 987919.079240584
200 0.000399999999999848 -0.0950541483151852 -0.0507552607695518 0.0252904335353468 0.0031744553825574 0.102893789097226 -0.0145168296924195 0.208657424403432 374.369102454802 -333188.095937332 99.4171155812641 99.7878605472683 99.5390548487696 987489.264293895
300 0.000599999999999915 -0.145626421872397 0.0145303482691147 -0.00291418014564713 0.000706336576054668 0.0942345643924937 -0.0202354133850633 0.225900454279363 371.660064093701 -333166.234447988 99.4869092366261 99.752218237514 99.5191390714889 987631.905162553
400 0.000799999999999839 -0.174643712077797 -0.0169902667682001 -0.0247847947307825 0.00536325273991124 0.108376886892561 -0.0114250940108376 0.243723347041635 373.65562228966 -333180.57088563 99.5250822236525 99.7071343794009 99.4992232942082 987366.686834001
500 0.000999999999999764 -0.183758248844673 0.036736745887959 -0.0115408859323623 -0.0212954565802335 0.0800533198419526 -0.00158237028476732 0.246773984478888 373.258661709239 -333176.997409035 99.5396372160262 99.7288027447052 99.4793075169276 987527.986462272
600 0.00119999999999983 -0.188754932394421 0.00146259900932172 0.0110363501268202 0.0207436259341427 0.105194411754417 0.00367689316507627 0.269489344393133 372.417287408753 -333171.0284922 99.5007298809105 99.7756985794715 99.4593917396469 987408.457034015
700 0.0013999999999999 -0.220965618872415 -0.0224769155691363 0.0301917653421972 0.00740497789620013 0.117322648052098 -0.0129424565288753 0.307549552658667 373.662942315398 -333178.822803087 99.5024218656183 99.7885912006546 99.4394759623662 987355.090984994
800 0.00159999999999982 -0.265869837920709 -0.00327384785813201 -0.047799520740973 0.0184475890015334 0.0768075506111313 -0.00027833542431256 0.279224459732884 373.332967640785 -333176.48623272 99.5313388431356 99.7513312684145 99.4195601850856 987075.526141413
900 0.00179999999999975 -0.29310083291433 0.019634546557514 0.0315123765210578 -0.0132493744066599 0.125842241935086 0.00364288939154107 0.386955265296389 374.173579150848 -333183.323872086 99.5506838995481 99.7802026858146 99.3996444078049 987355.297086714
1000 0.00199999999999981 -0.343443811636629 0.0099011052226375 -0.0185909875753426 -0.00332785523322626 0.103720945385496 -0.0195024461163883 0.386063799224109 373.67389493456 -333180.54120189 99.5547962720689 99.7664565733105 99.3797286305243 987062.248449823
1100 0.00219999999999988 -0.357876358886265 0.00738120134776543 0.00290975780915915 -0.000507717654827921 0.10139582638563 -0.0297611471116907 0.40657243185801 373.60779288528 -333180.567108009 99.5515451698638 99.7875207221224 99.3598128532436 987040.567338482
1200 0.0023999999999998 -0.391677938110712 -0.0117208688505867 0.00232316894314972 -0.00223863216317597 0.141524895193108 -0.00806803939523509 0.45847458271771 372.18638663502 -333170.053255058 99.5428578704284 99.8108673148115 99.3398970759629 986987.472380531
1300 0.00259999999999973 -0.406758965343666 0.0145020214359583 -0.0160979434994563 -0.0148674325376213 0.103326688581123 -0.0214989208161837 0.446749987768843 374.533154248031 -333186.626086629 99.5528009100067 99.8148962116401 99.3199812986823 986928.003515323
1400 0.00279999999999979 -0.444623174301346 0.0234245775193068 0.0134509736244651 -0.0006090030746369 0.0982641876296618 -0.0104679117245347 0.493758487290996 373.709100363203 -333182.399818316 99.5542221156 99.8303608374558 99.3000655214016 986897.069114244
1500 0.00299999999999986 -0.47958706703182 -0.00603911523044955 -0.0341841238109264 -0.0162805425272577 0.0867323537491135 -0.0183293361992987 0.48588307075736 371.335614546525 -333165.336363773 99.5506523847017 99.835108534242 99.2801497441209 986710.678669018
1600 0.00319999999999979 -0.480186097910348 -0.00502514545619033 0.0288511971536881 -0.00463049594129673 0.0863335887881864 -0.0301170132877494 0.517849540070464 374.630766828174 -333189.705837992 99.5598077650274 99.8539619429226 99.2602339668403 986789.784999817
1700 0.00339999999999985 -0.494861321366262 0.0207162889614661 -0.0173146047888283 0.00356418423261134 0.0942780770429011 -0.0212639035346686 0.525088927966817 373.242084406347 -333179.678072497 99.5791884413651 99.8482411719313 99.2403181895596 986727.312831555
1800 0.00359999999999992 -0.552409208295203 -0.0177543450746089 0.00339162019304775 -0.00437891327794097 0.103330349330087 -0.0060962134663985 0.574290229029525 372.181664490393 -333172.182095539 99.5750351043335 99.8582351677938 99.2204024122789 986586.886497732
1900 0.00379999999999984 -0.530890470078818 0.0229125987897178 -0.0165571558867675 -0.00301816543237043 0.0945045459279669 -0.00636775572496677 0.559767389068806 372.61060493277 -333175.43294687 99.5841196247168 99.8740234227132 99.2004866349983 986634.816243003
2000 0.00399999999999977 -0.594126576977961 -0.0370973720702678 0.0125093017427513 -0.0179617125819241 0.101800702022234 -0.0179091769858489 0.611060518519473 372.570863587001 -333173.148106399 99.5841369891972 99.8834789225504 99.1805708577176 986530.298772022
2100 0.00419999999999983 -0.582482602850888 -0.00179615912626809 -0.0204540062934479 0.00580724338945878 0.106921341517537 0.0046950189157371 0.600977806510634 372.868535191042 -333177.757964735 99.608036461449 99.8560899771927 99.1606550804369 986298.386868756
2200 0.0043999999999999 -0.609419484205012 0.0630565310373716 0.0287279228272729 -0.00504157150302709 0.108742946422892 -0.000773932729575754 0.682547004385368 373.826093492011 -333184.159294082 99.6226450605032 99.8790257442037 99.1407393031563 986471.44634564
2300 0.00459999999999983 -0.693717336640796 -0.0206368648073187 -0.0519802214808099 -0.00687306727980819 0.100320297359885 -0.0100498181781101 0.680852646434869 372.923800338742 -333179.540202606 99.607962992347 99.8665913949512 99.1208235258756 986005.159202976
2400 0.00479999999999975 -0.683089149992857 0.00928873109166206 0.0318450903148727 0.0124699221731129 0.104472686461232 -0.0254097647970988 0.728464505468774 371.698552505041 -333169.970179747 99.6109280232563 99.9263214140167 99.1009077485949 986426.018256892
2500 0.00499999999999982 -0.722393086077893 -0.0453797581131956 -0.0292888664314591 -0.0354029363499984 0.127887647283761 -0.00601449564509622 0.72279602124517 372.425257352613 -333175.652896946 99.6155238360668 99.9118519176081 99.0809919713143 986130.469735291
2600 0.00519999999999988 -0.740774666557271 0.0303864360426259 -0.0158571586576716 -0.00520348879004541 0.114890197384653 -0.022124058342285 0.776089928978109 374.219819550839 -333189.303063481 99.6619148607753 99.9055981830972 99.0610761940336 986329.661227538
2700 0.00539999999999981 -0.784451263070542 -0.0174660430639734 -0.0026998080186993 0.00252000616789563 0.113645754584313 -0.0142017239539052 0.799487363395424 371.902230333228 -333172.549980114 99.6512041788968 99.9053667727763 99.0411604167529 986023.100535005
2800 0.00559999999999973 -0.790873332344104 0.0180382758720849 -0.000694195749845813 -0.00561937466766731 0.118372031574118 -0.023245530731282 0.826612116680649 373.573161373446 -333182.854207417 99.6594596131391 99.9129863670268 99.0212446394723 985981.687438746
2900 0.0057999999999998 -0.829536356276645 -0.0318212796477597 -0.00662906567112495 0.0112328191257938 0.112472896306674 -0.0227040834819511 0.8348386743177 373.324835653628 -333181.555795128 99.6312036779605 99.9324450932898 99.0013288621916 985695.819991447
3000 0.00599999999999987 -0.842937185276094 0.0392472707605816 0.013339524106825 0.0127970541638836 0.103193178434181 -0.00522395995627129 0.888023014175455 374.708809918461 -333191.110563223 99.6620747195273 99.9307213753094 98.9814130849109 985785.886308164
3100 0.00619999999999979 -0.897493967986013 -0.0215223905046364 -0.0234691007189548 -0.0096055194725102 0.104553870911887 -0.0289672347511884 0.895105226924139 373.964720950382 -333187.024235252 99.6806230723214 99.9000508322257 98.9614973076303 985468.418244978
3200 0.00639999999999971 -0.878873660988599 0.0375974537752505 0.014788734877438 0.00858033300050286 0.0926207576832382 0.00270561586728553 0.919518706441556 375.305545845726 -333196.431642443 99.7192847189733 99.9126414843975 98.9415815303496 985776.461279225
3300 0.00659999999999992 -0.922240937797737 -0.0328875005289324 -0.0170551440104134 0.000320898472212823 0.114067917026437 -0.0193584063691401 0.919477994455427 373.138009099411 -333181.39755039 99.6861039809992 99.9561213300133 98.9216657530689 985678.853192515
3400 0.00679999999999985 -0.911335945367636 0.00713539305889968 0.0283665263605513 -0.0358391564145723 0.132969031921169 0.000319224957944479 0.959393808304801 372.731140547774 -333174.886082155 99.6945434550244 99.9964110842702 98.9017499757883 985961.094491113
3500 0.00699999999999977 -0.97210207634267 -0.00519972742098077 -0.0161171406602194 0.00109850810427879 0.1008251661607 0.00814991295008965 0.977324559987312 373.672168239774 -333183.099010701 99.6998518761198 99.981554340268 98.8818341985076 985668.575668665
